#{"t_start": 1511327527.046202, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-20.0,836,27.423895
-20.0,893,52.122576
-21.0,762,72.972594
-21.0,757,93.931237
-21.0,760,115.030428
-21.0,820,137.55299
-21.0,817,160.12294
-20.0,976,186.890372
-21.0,764,208.037362
-21.0,845,231.285308
-20.0,1222,264.839809
-21.0,875,289.284866
-21.0,780,310.778238
-21.0,927,336.474358
-20.0,897,361.294579
-20.0,1093,391.495214
-18.0,1539,433.972571
-19.0,1217,467.516478
-18.0,1569,510.756125
-19.0,1802,560.409045
-18.0,1820,611.416319
-9.0,2611,683.827911
-21.0,758,704.845966
-21.0,759,726.083645
-21.0,821,749.152086
-16.0,1935,802.714721
-10.0,2818,880.576455
3.0,3556,979.685211
20.0,1594,1024.156945
16.0,2040,1080.901356
15.0,2347,1145.947061
20.0,2080,1203.514225
19.0,2081,1261.555444
19.0,1635,1306.936143
19.0,1633,1352.040521
12.0,2478,1420.531108
18.0,1728,1468.012407
18.0,1874,1519.922205
19.0,1636,1565.389355
13.0,2125,1623.878045
12.0,2419,1690.866953
20.0,2052,1747.182223
20.0,1564,1789.940897
18.0,1662,1835.843114
20.0,1991,1891.170783
20.0,2001,1946.525773
19.0,1661,1992.503006
20.0,2002,2048.143119
20.0,1566,2091.203598
20.0,2003,2147.239679
19.0,2093,2205.302115
20.0,1595,2249.465936
20.0,1996,2304.404625
20.0,1994,2359.454064
20.0,2001,2414.981189
16.0,2320,2479.45451
20.0,2005,2535.146089
15.0,2459,2603.561341
20.0,2007,2659.295408
18.0,1788,2708.617625
10.0,2986,2791.264951
19.0,1711,2838.431164
18.0,1815,2888.584625
20.0,1990,2943.482345
16.0,2248,3005.424376
19.0,2166,3063.969633
13.0,2737,3122.766081
20.0,1561,3154.408143
19.0,2117,3197.432255
18.0,1966,3237.036795
20.0,1992,3277.483207
14.0,2651,3331.033673
20.0,2046,3372.435668
17.0,2208,3417.385155
20.0,2003,3458.044434
17.0,1996,3498.51953
20.0,1990,3539.046678
20.0,1597,3571.353358
20.0,1561,3602.986094
18.0,2424,3652.032086
19.0,1836,3689.239325
20.0,1564,3720.975793
19.0,1727,3755.950248
18.0,2144,3799.564181
20.0,2003,3840.298046
19.0,2029,3881.424383
18.0,1656,3914.909079
20.0,2049,3956.53534
19.0,3087,4019.166283
19.0,2082,4061.398161
20.0,2061,4103.449999
20.0,3349,4171.511846
14.0,1869,4209.535123
20.0,1995,4250.096722
20.0,1997,4290.538456
20.0,3055,4352.369942
20.0,2651,4406.3364
19.0,3211,4471.738256
20.0,1565,4503.228066
20.0,1564,4534.935452
19.0,2106,4577.532984
19.0,2106,4620.017356
19.0,3122,4683.550693
20.0,1990,4723.862294
20.0,1563,4755.473979
20.0,1566,4787.328998
20.0,1996,4827.837904
20.0,1991,4868.20246
18.0,2068,4910.28782
20.0,1997,4950.994232
20.0,1993,4991.569299
20.0,1562,5023.147604
20.0,2002,5064.018878
20.0,2003,5104.647114
19.0,3262,5170.959184
20.0,1993,5211.259355
20.0,3057,5273.177273
20.0,2006,5314.243606
17.0,2180,5358.281169
20.0,2001,5398.859106
19.0,2216,5443.870213
20.0,1566,5475.728337
20.0,1636,5509.039842
20.0,1565,5540.90839
20.0,2003,5581.562384
19.0,2144,5624.970139
19.0,2121,5668.075942
20.0,3062,5730.484092
20.0,2008,5771.303949
21.0,3008,5832.489913
20.0,2041,5873.825652
20.0,3085,5936.41191
20.0,1563,5968.186856
20.0,1660,6002.014015
20.0,3085,6064.689744
20.0,2004,6105.369734
20.0,1625,6138.420289
19.0,1621,6171.23177
20.0,3117,6234.477558
21.0,3025,6295.76196
19.0,2124,6338.942982
20.0,2003,6379.539609
20.0,1561,6411.086021
20.0,2007,6451.78695
20.0,1997,6492.386465
19.0,3092,6555.222635
20.0,1996,6595.571218
19.0,3031,6657.040771
19.0,3119,6720.342524
20.0,3055,6782.539423
21.0,1975,6822.594842
20.0,2055,6864.399549
20.0,1594,6896.764681
20.0,2003,6937.655788
20.0,1567,6969.491832
20.0,1994,7009.958683
20.0,1992,7050.656117
20.0,2047,7092.187654
20.0,2003,7132.886751
19.0,1630,7165.965933
20.0,3058,7227.828772
20.0,1566,7259.656139
18.0,3234,7325.317384
20.0,3057,7387.493764
20.0,2052,7428.845013
20.0,3202,7497.655482
18.0,2162,7540.422349
21.0,3005,7599.930167
20.0,2001,7638.687325
20.0,1993,7678.014009
20.0,1995,7715.371769
20.0,1993,7758.38131
19.0,1983,7794.48103
