entloss,optimgain,EpisodesSoFar,ev_tdlam_before,surrgain,EpRewMean,EpLenMean,meankl,TimeElapsed,entropy,TimestepsSoFar,EpThisIter
,0.0031223,111726,0.11383920908,0.0031223,2.025,94.625,0.00134923,23081.23460149765,0.0144261,9860596,4
,0.00282382,111730,0.0551732778549,0.00282382,2.125,97.15,0.00148936,23082.455587625504,0.00583466,9860988,4
,0.00148119,111734,-0.0177668333054,0.00148119,2.475,108.75,0.00125864,23083.67275619507,0.0122125,9861544,4
,0.00361741,111738,0.0775193572044,0.00361741,2.55,112.9,0.00103388,23084.90828680992,0.0363433,9862097,4
,0.00210644,111743,0.0640334486961,0.00210644,2.7,117.1,0.000529026,23086.14497900009,0.0230857,9862639,5
,0.000512294,111746,-0.0269776582718,0.000512294,2.85,123.675,0.000543851,23087.368663549423,0.00603345,9863153,3
,0.0162925,111750,0.00339859724045,0.0162925,2.85,123.675,0.00108026,23088.56067800522,0.0166486,9863659,4
,0.00229143,111754,0.0488578081131,0.00229143,2.775,121.775,0.000408892,23089.77467560768,0.0226766,9864137,4
,0.00198276,111757,0.045699775219,0.00198276,3.0,131.325,0.0013462,23090.986540317535,0.0233417,9864675,3
,0.0017969,111761,0.0304394364357,0.0017969,2.975,130.95,0.000492616,23092.20012664795,0.00570403,9865118,4
,0.0102214,111765,0.0566819310188,0.0102214,2.975,130.95,0.000765854,23093.406848192215,0.0184098,9865624,4
,0.00166909,111775,0.128651916981,0.00166909,2.475,114.45,0.000555242,23094.648205518723,0.0250641,9866240,10
,0.00524814,111781,0.122706770897,0.00524814,2.25,106.375,0.00120972,23095.92149567604,0.00764527,9866740,6
,0.00237941,111786,0.0249134302139,0.00237941,2.075,100.75,0.000662383,23097.13266134262,0.0199579,9867183,5
,0.00344004,111793,0.0392842292786,0.00344004,1.825,90.375,0.000580677,23098.345105409622,0.0199511,9867729,7
,0.00622433,111797,0.0197897553444,0.00622433,1.8,88.0,0.000554629,23099.555332422256,0.0175381,9868195,4
,0.00229567,111806,0.119123935699,0.00229567,1.375,72.975,0.000413266,23100.783947706223,0.00714876,9868753,9
,0.00469091,111813,0.0180260539055,0.00469091,1.5,77.775,0.000454745,23102.00165963173,0.021962,9869305,7
,0.000564784,111818,0.0581709742546,0.000564784,1.75,85.575,0.000494495,23103.244069576263,0.0184308,9869819,5
