#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.7967148, "gym_version": "0.9.3"}
r,l,t
-21.0,760,14.130253
-19.0,1007,29.702308
-19.0,1040,45.772212
-20.0,918,59.723626
-20.0,833,75.2735
-21.0,870,97.742612
-20.0,1066,125.692726
-20.0,865,148.687129
-20.0,925,173.355617
-21.0,842,195.84148
-21.0,878,219.148351
-20.0,1127,249.032892
-20.0,867,271.833276
-19.0,1182,302.919628
-16.0,1327,338.201291
-16.0,1428,376.268293
-19.0,1411,413.624237
-18.0,1613,456.388922
-19.0,1374,492.684176
-20.0,1578,534.453944
-13.0,2093,590.360037
11.0,2069,645.90906
18.0,1699,690.831701
-6.0,2424,755.283399
-4.0,2490,821.315657
-1.0,2967,900.365191
20.0,1562,941.935741
17.0,1772,989.44634
19.0,1636,1033.379791
19.0,2080,1088.537105
14.0,2129,1145.065728
3.0,2995,1225.18386
18.0,2172,1283.363152
19.0,2107,1339.772688
20.0,1565,1381.834326
18.0,2142,1438.827448
17.0,1984,1491.959032
20.0,2000,1545.523141
18.0,2079,1600.373008
18.0,2185,1658.759565
20.0,2007,1711.905273
18.0,1786,1759.486312
20.0,2042,1814.531924
19.0,2040,1868.823232
18.0,2088,1924.648557
20.0,1564,1966.169428
16.0,2005,2019.533584
20.0,2002,2073.033733
13.0,2682,2144.311047
18.0,1941,2195.785943
20.0,2063,2250.927143
17.0,2114,2307.14763
19.0,2042,2361.810579
20.0,2005,2415.493258
20.0,2060,2470.805852
19.0,2837,2547.226988
20.0,2005,2600.795269
18.0,1719,2646.924907
21.0,1973,2699.644682
16.0,2351,2762.11307
20.0,2006,2815.605254
19.0,2052,2869.965623
19.0,1718,2916.27558
19.0,1685,2960.907998
18.0,1957,3013.073144
19.0,1774,3060.207747
21.0,2769,3132.886261
20.0,2003,3174.448418
18.0,2204,3217.407861
18.0,2048,3257.286737
20.0,2067,3297.383601
18.0,2210,3340.730455
20.0,2005,3379.765077
20.0,1563,3410.279499
14.0,2901,3466.637673
20.0,2005,3505.586529
18.0,2841,3560.851264
17.0,2332,3606.211403
19.0,1716,3639.761205
20.0,1563,3670.135692
20.0,2001,3709.120473
20.0,2001,3748.161458
20.0,2023,3787.752273
20.0,2006,3826.737951
20.0,2007,3866.049614
16.0,2915,3923.387639
20.0,2005,3962.194071
19.0,1695,3995.20271
20.0,1565,4025.525491
18.0,1783,4060.523149
19.0,1689,4093.245627
18.0,1855,4129.477139
20.0,2003,4168.270339
19.0,2715,4221.073053
20.0,1561,4251.522308
20.0,2003,4290.356061
20.0,2002,4329.44255
20.0,2002,4368.267806
19.0,1632,4399.794331
20.0,1561,4430.001946
19.0,1701,4463.039092
19.0,2889,4519.791088
18.0,2917,4576.576252
20.0,2001,4615.148487
20.0,2048,4654.906889
19.0,1691,4687.935179
20.0,1595,4719.253806
17.0,2487,4767.813824
21.0,1970,4806.054668
20.0,1562,4836.472017
20.0,1563,4867.192508
20.0,1633,4898.850405
20.0,1592,4929.884241
19.0,2207,4972.720781
17.0,2141,5014.061281
20.0,2005,5053.233213
18.0,1805,5088.432834
20.0,1561,5118.651708
19.0,1744,5152.879481
20.0,2756,5206.579785
19.0,1867,5242.793955
20.0,2004,5281.849022
19.0,2052,5321.678205
18.0,2277,5366.486235
18.0,2127,5407.82413
20.0,1566,5438.234712
20.0,2787,5492.506944
20.0,2001,5531.365454
20.0,2790,5585.56288
21.0,2692,5638.059609
16.0,2516,5686.700769
20.0,1565,5716.949198
21.0,1989,5755.638984
20.0,2003,5794.574492
20.0,2792,5848.849159
18.0,2325,5894.088851
20.0,1652,5926.268035
20.0,2019,5965.597596
20.0,1565,5996.247733
19.0,2879,6052.280752
19.0,2168,6094.238716
20.0,2789,6148.593521
20.0,2094,6189.501716
20.0,2006,6228.214035
20.0,2002,6267.048154
19.0,2053,6306.857481
18.0,1750,6340.847974
18.0,1948,6378.467291
20.0,2035,6417.934494
17.0,2356,6463.727819
19.0,2143,6505.366086
18.0,2248,6549.063227
20.0,1561,6579.379779
17.0,2422,6626.361547
19.0,1689,6659.425796
20.0,2001,6698.382241
20.0,2002,6737.106227
18.0,2266,6781.11639
20.0,1566,6811.727156
20.0,2793,6865.926924
19.0,2110,6906.707371
20.0,2804,6960.966021
20.0,2053,7000.857803
19.0,2167,7042.88051
18.0,2178,7085.335513
19.0,2176,7127.456345
19.0,2108,7168.276276
20.0,2004,7207.173549
20.0,1823,7242.460674
21.0,1973,7280.55349
19.0,2913,7337.071858
19.0,2053,7376.907976
20.0,2103,7417.757311
20.0,2775,7471.782571
