#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.4053001, "gym_version": "0.9.3"}
r,l,t
-21.0,806,15.293653
-20.0,873,28.709085
-19.0,1198,47.18517
-21.0,782,59.128876
-19.0,936,76.515062
-21.0,945,101.135239
-21.0,880,124.17287
-21.0,873,147.174593
-21.0,852,170.183214
-20.0,876,193.572578
-21.0,852,216.105712
-21.0,879,239.365902
-20.0,1220,271.588582
-21.0,819,293.095197
-19.0,1103,322.420308
-21.0,861,345.21666
-16.0,1456,384.01633
-18.0,1306,418.499556
-20.0,1156,449.165712
-20.0,1477,488.257147
-7.0,2282,548.703169
-13.0,2207,607.739286
18.0,1682,652.744699
9.0,2306,713.835928
-3.0,2591,782.584945
3.0,2638,852.639299
-2.0,3052,933.971418
19.0,2040,988.763244
20.0,2005,1042.359234
20.0,2003,1095.477135
16.0,1944,1147.270472
19.0,1630,1190.591697
18.0,1686,1235.87468
19.0,1684,1280.863948
15.0,2069,1336.406003
19.0,1657,1380.928901
14.0,2168,1438.559375
17.0,1821,1487.346169
19.0,2071,1542.86045
20.0,1563,1584.110645
17.0,1855,1633.307406
19.0,1762,1680.41914
20.0,1566,1721.90729
18.0,1804,1770.056393
20.0,1591,1812.810082
19.0,1685,1857.791104
20.0,2004,1911.329666
21.0,1975,1963.761245
20.0,2033,2018.11194
19.0,2166,2075.921312
18.0,2223,2134.941167
19.0,1647,2178.505798
20.0,2000,2231.897776
17.0,1942,2283.495075
18.0,1715,2329.247536
18.0,2348,2392.372981
18.0,2844,2468.531767
15.0,2940,2547.755482
17.0,2216,2607.070451
17.0,2273,2668.192648
17.0,2128,2724.803081
19.0,2086,2780.240969
19.0,2168,2837.93328
18.0,1728,2883.679885
16.0,2499,2950.585744
19.0,1746,2996.898073
15.0,2339,3059.206802
17.0,2845,3133.927293
19.0,2785,3190.673725
20.0,1566,3221.083297
19.0,2099,3261.952557
19.0,2768,3315.936152
19.0,2123,3357.48095
18.0,2084,3398.10059
20.0,2007,3437.177138
19.0,2040,3476.631526
18.0,1781,3511.207645
19.0,2043,3551.018415
19.0,2045,3590.829575
20.0,2787,3645.210995
20.0,2034,3685.005426
20.0,2030,3724.47222
20.0,2818,3779.510612
21.0,1538,3809.36243
19.0,2645,3860.878018
19.0,2110,3902.146702
20.0,2003,3941.680082
20.0,2790,3995.813984
20.0,2787,4050.195288
18.0,2178,4092.54713
17.0,2743,4145.93197
20.0,2006,4184.746694
14.0,2525,4234.069365
19.0,2064,4274.203324
19.0,2075,4314.550642
20.0,1564,4345.030864
18.0,2296,4389.500505
20.0,2005,4428.223827
19.0,2955,4485.756234
20.0,2103,4527.149851
19.0,2062,4567.338856
20.0,2003,4605.981269
19.0,1623,4637.44359
10.0,2866,4693.177985
19.0,2753,4747.258417
20.0,1566,4777.987055
18.0,2372,4823.95153
20.0,1566,4854.776414
20.0,2051,4894.37331
20.0,2007,4933.611653
20.0,1563,4963.859029
19.0,1679,4996.471204
19.0,2151,5038.307136
18.0,2775,5092.214022
20.0,2834,5147.428358
19.0,2940,5204.927273
20.0,2007,5243.849195
19.0,2200,5286.70666
20.0,1605,5317.921345
20.0,1562,5348.801939
20.0,1566,5379.289669
19.0,2188,5421.715477
17.0,2254,5465.550809
20.0,2000,5504.509792
20.0,1562,5534.725384
18.0,2262,5578.6376
20.0,1631,5610.359532
18.0,2709,5663.244785
19.0,2206,5705.718554
19.0,2119,5746.799528
20.0,2071,5787.218715
14.0,2748,5840.599626
20.0,1636,5872.624451
20.0,1754,5906.50586
20.0,2001,5945.548483
19.0,2803,6000.244081
20.0,2794,6054.636996
20.0,2792,6108.81738
18.0,2907,6165.419139
20.0,2789,6219.612356
20.0,1561,6249.906301
20.0,1598,6280.925169
20.0,1566,6311.229668
20.0,1585,6341.99322
20.0,2002,6380.614237
20.0,2789,6434.89947
20.0,2000,6473.653926
20.0,2087,6514.264846
19.0,2132,6555.710588
20.0,2791,6609.969203
19.0,2190,6652.582573
12.0,2772,6706.547165
17.0,2183,6748.744436
18.0,1905,6785.788769
20.0,2067,6826.195013
19.0,2853,6881.418968
13.0,2931,6938.132128
19.0,2198,6980.684386
20.0,2789,7034.810669
18.0,2243,7078.675595
20.0,2792,7132.757738
20.0,1564,7163.011858
18.0,2234,7206.24768
21.0,1994,7244.953825
20.0,2787,7298.777059
20.0,2007,7337.684631
20.0,2882,7393.747382
20.0,2047,7433.547145
19.0,2133,7475.022233
