#{"t_start": 1511327527.2044628, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-20.0,1025,32.765459
-19.0,1051,61.573779
-21.0,763,82.45579
-21.0,757,103.546321
-21.0,764,124.664803
-21.0,850,148.234954
-21.0,881,172.19457
-21.0,822,194.772456
-21.0,855,218.404898
-21.0,816,240.934091
-20.0,986,267.949273
-20.0,984,295.315681
-21.0,882,319.701285
-19.0,1033,348.495111
-18.0,1332,385.223865
-20.0,1204,418.449746
-19.0,1046,447.170968
-17.0,1426,486.679887
-19.0,1995,541.438295
-18.0,1967,596.41223
-17.0,2198,657.491713
-19.0,1279,692.957963
-21.0,763,714.262383
-21.0,757,735.444257
-18.0,1212,769.209131
-15.0,2796,846.506201
14.0,2515,916.15164
19.0,2039,973.095883
15.0,2311,1037.579105
15.0,1883,1089.948229
6.0,2948,1171.571458
20.0,1994,1226.962673
18.0,2155,1286.852865
19.0,1630,1331.822815
13.0,2516,1401.468985
20.0,1995,1456.635449
20.0,2079,1513.745829
20.0,1991,1569.345508
17.0,2368,1634.374595
19.0,2085,1692.238025
18.0,1965,1746.093487
20.0,2006,1801.193469
19.0,1928,1854.450775
3.0,3300,1946.053694
19.0,1826,1996.641158
20.0,1995,2052.046401
19.0,1819,2102.122428
20.0,1592,2146.67164
20.0,1990,2201.861418
16.0,2321,2266.158085
18.0,2144,2325.216905
19.0,1695,2372.186587
14.0,2236,2434.355234
20.0,1992,2489.319686
19.0,1819,2540.079653
18.0,2506,2609.794619
19.0,2039,2666.355415
15.0,2370,2731.973511
18.0,2131,2790.687963
18.0,1845,2841.646467
16.0,2074,2898.942745
19.0,1680,2945.286688
20.0,1592,2989.143163
20.0,1773,3038.342127
19.0,1776,3082.773214
20.0,1994,3123.698191
15.0,2387,3171.960892
20.0,1562,3203.661047
18.0,1887,3241.811821
16.0,1886,3280.165576
20.0,1566,3311.693197
20.0,1565,3343.191684
20.0,1562,3375.011573
18.0,2206,3419.801248
14.0,2415,3468.8384
20.0,2113,3511.763839
17.0,1835,3549.059328
19.0,1632,3582.163555
20.0,2002,3622.717679
20.0,1991,3662.991752
18.0,2075,3705.089203
10.0,2764,3760.999275
19.0,2118,3804.221547
14.0,2574,3856.570305
17.0,2130,3899.579185
19.0,2098,3942.118641
19.0,2079,3984.333627
18.0,2131,4027.484066
19.0,2031,4068.752628
20.0,1566,4100.707242
18.0,1927,4140.008626
21.0,1970,4179.959583
19.0,2037,4221.446871
20.0,1590,4253.722658
20.0,2003,4294.223577
18.0,1963,4333.925548
20.0,1563,4365.520859
18.0,3237,4431.621358
20.0,3119,4494.845968
19.0,2122,4537.749382
20.0,1564,4569.440882
20.0,1583,4601.335365
20.0,2007,4642.033164
16.0,2337,4689.584096
20.0,1567,4721.256114
20.0,2007,4761.975558
20.0,3055,4823.936136
20.0,1994,4864.322219
20.0,2001,4905.121306
20.0,2007,4946.125242
18.0,2240,4991.715912
20.0,1623,5024.514938
20.0,1565,5056.406297
20.0,1844,5093.926567
20.0,1991,5134.125768
14.0,2513,5185.260454
18.0,2174,5229.407954
18.0,2221,5274.295197
20.0,1564,5306.279899
20.0,1991,5346.601086
19.0,2063,5388.339925
20.0,3056,5450.561049
21.0,1989,5491.008285
21.0,2037,5532.583797
20.0,2002,5573.219079
19.0,1988,5613.378077
19.0,2149,5657.184449
20.0,3059,5719.429792
20.0,1567,5751.273967
20.0,3062,5813.555151
20.0,2001,5854.152657
19.0,2026,5895.308796
20.0,3056,5957.168268
21.0,3005,6018.398934
20.0,1997,6059.043043
20.0,1993,6099.520337
19.0,2166,6143.484682
20.0,2030,6184.606705
20.0,3057,6246.664904
20.0,3058,6308.639203
20.0,1567,6340.559972
20.0,1990,6380.806613
18.0,2174,6424.790198
20.0,1563,6456.36692
21.0,3087,6519.35775
20.0,3061,6581.250746
20.0,2001,6621.88636
20.0,3057,6683.76919
20.0,3061,6746.045489
20.0,1564,6777.883269
20.0,1996,6818.439566
20.0,2001,6859.052455
20.0,1565,6890.814912
20.0,2007,6931.769667
17.0,2505,6982.650192
14.0,2665,7037.06507
20.0,3055,7099.203237
20.0,2112,7142.166525
17.0,1719,7176.861799
19.0,2103,7219.431816
16.0,2342,7266.872195
19.0,2086,7309.217731
20.0,1996,7349.922322
20.0,1997,7390.513862
20.0,1993,7430.624108
20.0,1994,7472.64083
20.0,2005,7515.182111
20.0,3060,7575.658804
19.0,2083,7616.95416
20.0,1561,7647.276085
20.0,1990,7685.126438
20.0,2072,7725.219087
21.0,1975,7766.814775
