#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.7721288, "gym_version": "0.9.3"}
r,l,t
-21.0,820,15.164173
-19.0,1062,31.557554
-20.0,920,45.665365
-21.0,940,60.015177
-20.0,842,75.859062
-21.0,884,98.916865
-19.0,1043,126.198412
-21.0,941,151.162566
-19.0,1011,178.169174
-20.0,891,201.955392
-20.0,1219,234.313958
-21.0,1065,262.383839
-19.0,1066,290.456694
-21.0,880,313.727047
-17.0,1171,344.919416
-20.0,917,369.267231
-19.0,1345,404.912894
-20.0,1215,437.086835
-21.0,1248,470.33457
-11.0,2063,524.958598
-12.0,2234,584.257789
-5.0,2492,651.101854
19.0,1648,694.677221
-3.0,2617,764.174441
-6.0,2430,828.765423
4.0,2815,903.707175
11.0,2590,973.105527
18.0,1747,1019.54033
19.0,2099,1075.548889
18.0,1726,1121.459969
17.0,2190,1179.71437
18.0,1768,1227.044355
14.0,2083,1282.772657
17.0,2142,1340.295846
14.0,2565,1409.043471
18.0,1749,1455.67174
16.0,1887,1506.27688
19.0,1666,1550.598609
20.0,2005,1603.64801
11.0,2627,1673.686677
21.0,1975,1726.04605
18.0,2160,1783.910515
16.0,2195,1842.822994
18.0,1724,1888.618086
17.0,2147,1945.688622
20.0,2065,2000.81266
19.0,2046,2055.626191
20.0,2064,2110.467988
18.0,1744,2156.647896
14.0,2667,2227.684479
20.0,2007,2280.970241
18.0,1786,2328.615796
20.0,2002,2382.340531
19.0,2266,2443.144186
19.0,2259,2503.938426
21.0,1991,2557.42103
19.0,1687,2602.604712
20.0,2001,2656.441287
14.0,2441,2721.478944
20.0,1692,2766.195349
19.0,2172,2824.249979
20.0,1561,2865.540143
19.0,2878,2942.649458
17.0,2451,3007.701585
20.0,2788,3081.937391
20.0,2000,3133.943163
20.0,2007,3175.495613
20.0,2000,3214.475345
19.0,1684,3247.2494
21.0,2777,3301.117807
20.0,1624,3332.798602
20.0,2006,3372.209909
20.0,1564,3402.694782
20.0,1564,3433.128256
17.0,2294,3477.581964
20.0,2006,3516.54703
18.0,2796,3570.968539
19.0,2088,3611.681832
20.0,2004,3650.844463
16.0,3096,3711.057142
19.0,1707,3744.301905
18.0,2200,3787.376565
18.0,2165,3829.504598
20.0,1565,3859.962883
20.0,2794,3915.106494
19.0,2052,3954.827357
20.0,2050,3994.810277
19.0,1621,4026.184931
19.0,2863,4082.244174
20.0,2075,4122.51499
20.0,1561,4152.790197
19.0,2097,4193.602044
20.0,2004,4232.608247
20.0,1565,4263.103488
20.0,2002,4301.89728
20.0,2001,4340.942419
20.0,2839,4395.940399
20.0,1564,4426.166365
20.0,1562,4456.569791
20.0,2090,4497.454116
16.0,2369,4543.901506
20.0,2794,4597.964353
20.0,2004,4636.763477
19.0,2070,4676.935008
20.0,2152,4719.278279
19.0,1957,4757.461036
20.0,1563,4788.041973
18.0,2216,4831.080777
19.0,2044,4871.034371
20.0,2002,4910.015187
20.0,2150,4951.662508
19.0,2092,4992.295229
18.0,3027,5051.22378
19.0,2186,5093.651251
21.0,1968,5131.938941
20.0,2002,5171.273523
20.0,2794,5225.471238
20.0,1565,5256.065379
19.0,2125,5297.401371
20.0,1567,5327.937246
19.0,2174,5370.601158
20.0,1648,5402.636012
19.0,2256,5446.381777
18.0,1845,5482.327762
20.0,1562,5512.79215
20.0,1561,5542.927191
20.0,2775,5596.873101
20.0,2006,5636.043292
20.0,2055,5675.855
19.0,2135,5717.147182
20.0,1562,5747.396358
20.0,1565,5777.914362
18.0,2260,5821.786012
18.0,2420,5868.99035
19.0,2265,5912.975174
19.0,2199,5955.959062
20.0,2059,5996.03107
20.0,1566,6026.508675
20.0,1644,6058.536542
20.0,2788,6112.672759
20.0,1562,6143.121707
19.0,2114,6184.282738
20.0,2006,6223.081111
19.0,1693,6255.831383
21.0,1535,6285.575775
20.0,1562,6315.891256
18.0,2969,6373.383199
19.0,2931,6430.449592
20.0,1589,6461.184381
19.0,2853,6516.660945
20.0,1566,6547.077531
20.0,2753,6600.576913
20.0,2002,6639.418928
20.0,1566,6670.14248
20.0,2082,6710.547862
20.0,2789,6764.380547
19.0,1715,6798.058173
20.0,1565,6828.497048
20.0,2143,6870.118547
19.0,2956,6927.198816
19.0,2140,6968.482607
20.0,2793,7022.829004
19.0,2162,7065.071515
19.0,1662,7097.174486
20.0,2056,7137.011765
19.0,2881,7192.813667
20.0,2002,7231.605129
20.0,2800,7285.818737
20.0,1564,7315.996861
18.0,1839,7351.815876
20.0,2353,7397.650923
20.0,2113,7438.587919
17.0,2330,7483.932924
