#{"t_start": 1511316778.7740796, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
0.0,129,8.442996
1.0,157,13.465505
1.0,153,17.690429
1.0,173,22.735089
0.0,129,26.318438
1.0,173,31.323315
0.0,125,34.647604
4.0,297,43.431445
0.0,129,47.077586
0.0,127,50.622625
0.0,129,54.124231
4.0,280,62.350471
0.0,127,65.823969
0.0,127,69.441808
0.0,129,73.03214
1.0,172,78.067725
2.0,223,84.605499
0.0,125,88.138217
3.0,252,95.508178
1.0,157,99.906057
2.0,201,105.577045
0.0,127,109.010235
0.0,127,112.512159
2.0,222,118.906451
1.0,173,123.817221
3.0,274,131.998771
0.0,127,135.443514
0.0,129,138.913934
4.0,302,147.743058
0.0,127,151.329563
0.0,125,154.552608
5.0,350,164.886625
0.0,123,168.213385
0.0,127,171.888228
4.0,302,180.733896
3.0,248,187.867658
8.0,375,199.116745
2.0,200,204.986902
0.0,129,208.517166
2.0,200,214.301868
2.0,198,220.059194
0.0,127,223.334381
0.0,129,226.878699
0.0,127,230.364747
0.0,127,233.717185
0.0,125,237.178331
7.0,447,250.547529
4.0,299,259.56392
0.0,127,263.042637
5.0,350,273.460018
9.0,404,285.507707
1.0,174,290.482864
6.0,397,302.620917
0.0,129,306.229972
0.0,129,309.826437
0.0,129,313.440339
0.0,129,316.999694
2.0,202,322.83153
0.0,129,326.340392
0.0,127,329.843297
0.0,123,333.267815
1.0,157,337.770301
0.0,125,341.282659
2.0,207,347.328466
1.0,176,352.251504
0.0,125,355.504424
2.0,190,360.744902
2.0,201,366.50189
0.0,129,369.938493
3.0,246,377.196907
3.0,251,384.528422
2.0,202,390.4747
5.0,314,399.598214
1.0,176,404.699196
3.0,248,412.106907
0.0,129,415.789057
1.0,155,420.204944
2.0,204,425.927931
3.0,268,433.890599
3.0,258,441.241081
5.0,350,451.521226
7.0,430,464.319186
2.0,190,469.667629
4.0,261,477.31567
0.0,129,480.676003
4.0,275,488.854464
6.0,393,499.950783
5.0,311,509.089054
1.0,154,513.353347
1.0,175,518.2737
11.0,500,533.166341
10.0,357,543.643508
13.0,557,559.860224
5.0,351,569.837517
9.0,329,579.511324
5.0,315,588.602765
10.0,376,599.543965
10.0,520,614.689023
5.0,328,624.123236
15.0,647,643.111191
10.0,472,656.958021
19.0,663,676.348083
14.0,365,686.904452
14.0,543,702.693557
10.0,396,714.04968
18.0,610,731.8427
6.0,363,742.386948
13.0,531,758.002247
31.0,710,778.968558
20.0,595,796.405882
15.0,622,814.570408
10.0,484,828.646206
8.0,403,840.198186
14.0,519,855.230823
9.0,508,869.760363
18.0,732,891.316437
22.0,485,905.570073
11.0,560,921.80947
15.0,620,939.7228
5.0,310,948.885305
12.0,461,962.276124
19.0,722,983.209262
18.0,602,1000.841166
14.0,677,1020.583069
13.0,356,1030.860607
13.0,587,1048.330099
17.0,581,1064.835743
20.0,743,1086.572375
15.0,726,1107.316598
24.0,712,1128.130337
24.0,855,1153.153476
10.0,544,1168.875479
39.0,1081,1200.406533
20.0,735,1221.971487
36.0,994,1251.014832
7.0,406,1262.660026
8.0,437,1275.27019
23.0,849,1300.27322
31.0,937,1327.523558
25.0,810,1351.07676
40.0,1229,1387.086999
17.0,763,1409.574562
33.0,1069,1440.842269
26.0,821,1464.731514
44.0,1108,1497.033173
25.0,867,1522.187995
46.0,939,1549.316157
37.0,1074,1580.471607
23.0,712,1600.804429
33.0,1082,1632.525259
41.0,1072,1663.773117
51.0,955,1691.623769
54.0,1153,1725.230407
20.0,760,1747.034197
31.0,936,1774.130825
44.0,1228,1809.825242
67.0,1589,1856.236867
76.0,1402,1897.147212
56.0,1239,1932.909189
55.0,1152,1966.768671
79.0,1321,2004.925535
52.0,1112,2037.478909
20.0,595,2054.265559
81.0,1432,2095.906228
129.0,1636,2143.483533
91.0,1568,2189.066794
86.0,1365,2228.96365
40.0,527,2243.798846
100.0,1212,2278.824544
45.0,795,2301.942148
85.0,1498,2345.604831
75.0,1600,2392.265535
49.0,1107,2424.274883
94.0,1536,2469.209001
118.0,1732,2519.374824
108.0,1353,2558.548766
50.0,881,2583.981936
263.0,1830,2636.642066
208.0,1269,2673.101112
120.0,1624,2720.195308
268.0,1611,2767.067269
86.0,1501,2810.117538
178.0,1613,2856.861616
388.0,1794,2908.586479
368.0,2116,2969.95445
391.0,2137,3031.815439
81.0,1421,3073.093634
237.0,1629,3120.550215
325.0,2104,3181.415547
370.0,2053,3241.426518
334.0,1894,3296.003752
397.0,2099,3356.747236
150.0,1965,3413.12251
129.0,1519,3456.899687
306.0,1561,3501.818628
56.0,1362,3541.249204
399.0,2222,3605.57111
266.0,1669,3653.610377
366.0,1859,3707.138984
358.0,2262,3772.348142
346.0,2471,3843.344017
428.0,3089,3932.01028
298.0,1811,3983.88159
272.0,2001,4041.221538
323.0,1929,4096.636373
449.0,2438,4166.534564
413.0,2769,4246.467836
255.0,1955,4302.884608
339.0,1785,4354.064284
424.0,2929,4438.722216
427.0,2857,4521.005268
427.0,3285,4615.914366
362.0,1926,4670.668433
382.0,2254,4735.144512
431.0,3035,4822.072489
387.0,4045,4937.985307
348.0,2019,4996.042952
368.0,1888,5050.483125
397.0,2942,5134.35449
422.0,3608,5238.25176
418.0,2153,5299.745564
385.0,2520,5371.619539
302.0,7059,5574.233963
377.0,2571,5647.437658
417.0,3231,5740.413897
436.0,3021,5827.219034
338.0,1606,5872.999279
396.0,2786,5952.814946
387.0,2675,6028.727226
408.0,2166,6090.368994
428.0,3252,6183.574535
423.0,2705,6260.800007
560.0,3536,6361.827043
345.0,1981,6418.192965
424.0,3311,6513.035096
377.0,2318,6578.774533
848.0,10678,6884.354062
382.0,2384,6951.98676
414.0,3725,7058.124962
672.0,5136,7204.476345
395.0,4852,7342.366541
407.0,4140,7459.588847
174.0,1547,7503.943076
393.0,2424,7572.775382
424.0,3087,7659.904572
481.0,3204,7751.321154
358.0,2082,7810.395932
424.0,2610,7884.657646
433.0,3400,7981.998021
424.0,3888,8093.707685
425.0,3960,8207.164618
463.0,3271,8300.570094
395.0,2341,8366.907316
407.0,1886,8420.418921
363.0,1981,8476.62764
341.0,2081,8535.845681
384.0,2042,8593.788774
456.0,3181,8684.373668
813.0,5551,8842.682596
425.0,2221,8905.931117
839.0,5228,9054.884036
387.0,3640,9158.565264
428.0,4921,9298.322301
428.0,2774,9377.409234
399.0,2702,9454.219264
428.0,3461,9513.627444
409.0,2197,9549.777529
416.0,2092,9584.256447
405.0,3971,9649.220376
813.0,6495,9754.63519
