#{"t_start": 1511316778.9046812, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
1.0,155,9.278455
3.0,253,17.028933
5.0,309,26.286831
4.0,280,34.504009
0.0,129,37.998498
0.0,127,41.604099
0.0,129,45.309245
1.0,155,49.551614
0.0,127,53.032873
5.0,328,62.820792
0.0,123,66.294656
0.0,127,69.794866
0.0,129,73.388624
4.0,299,82.389386
2.0,222,88.938209
2.0,201,94.766648
0.0,129,98.311967
3.0,268,106.008393
5.0,348,116.301907
2.0,185,121.678795
1.0,173,126.655018
3.0,273,134.570035
5.0,350,144.765596
4.0,297,153.341481
0.0,129,156.981303
9.0,403,168.967001
4.0,297,177.741956
2.0,202,183.407593
0.0,129,187.031384
0.0,127,190.711
0.0,125,194.005927
0.0,129,197.677505
0.0,127,201.332531
0.0,127,204.722576
0.0,129,208.275165
0.0,129,211.782496
1.0,171,216.591681
3.0,248,223.813059
0.0,129,227.281367
3.0,248,234.525312
0.0,127,237.852228
5.0,348,248.073255
0.0,127,251.659972
0.0,125,255.152943
0.0,129,258.86936
9.0,404,271.101886
1.0,155,275.446672
4.0,297,284.107169
0.0,127,287.473848
0.0,125,291.02464
0.0,127,294.748535
0.0,127,298.325679
2.0,200,304.250087
1.0,156,308.651432
1.0,173,313.569207
3.0,226,320.033527
3.0,246,327.354795
1.0,174,332.334576
2.0,200,338.055087
0.0,129,341.718115
2.0,220,348.060529
6.0,396,359.48631
4.0,278,367.645539
2.0,200,373.299231
0.0,127,376.804639
4.0,297,385.655249
0.0,127,389.309073
2.0,185,394.486495
6.0,394,406.331201
5.0,350,416.864554
3.0,246,424.020321
2.0,200,429.796872
4.0,279,437.855119
3.0,230,444.481314
11.0,500,459.379283
2.0,204,465.158175
4.0,284,473.497143
2.0,185,478.751792
8.0,458,492.332836
9.0,404,503.903724
4.0,265,511.65608
3.0,235,518.362553
2.0,184,523.480496
2.0,190,528.922345
4.0,284,537.029892
5.0,315,546.089757
9.0,347,556.293416
6.0,399,567.703511
10.0,381,578.810884
8.0,479,592.933006
13.0,583,610.0353
11.0,271,617.75771
12.0,508,632.499883
8.0,279,640.527348
11.0,544,656.544431
8.0,441,669.154171
15.0,620,687.381902
12.0,502,702.022462
17.0,574,718.620175
9.0,348,728.663812
5.0,295,737.099843
7.0,382,748.163827
15.0,537,763.975592
25.0,875,789.934939
13.0,613,808.004108
15.0,421,820.025887
13.0,686,840.002047
10.0,546,855.90927
23.0,687,875.703926
18.0,613,893.794771
16.0,693,914.062365
16.0,620,932.204351
10.0,552,948.339344
14.0,382,959.480104
14.0,637,978.005514
25.0,778,1000.732972
15.0,631,1019.104529
19.0,725,1040.512893
19.0,625,1058.69035
21.0,846,1083.346877
16.0,736,1104.655717
18.0,660,1123.730828
13.0,571,1140.316678
13.0,372,1150.879772
30.0,920,1178.007077
25.0,757,1199.787847
22.0,818,1223.648512
19.0,591,1240.861877
21.0,630,1259.017355
15.0,615,1277.080505
25.0,844,1301.811135
23.0,767,1324.13364
17.0,651,1343.0076
11.0,472,1356.524687
25.0,656,1375.721393
8.0,417,1387.493359
17.0,622,1405.740003
20.0,743,1427.479151
43.0,1259,1464.214377
34.0,872,1489.663485
24.0,871,1514.668318
36.0,1103,1546.885398
53.0,1252,1583.188248
19.0,536,1598.579967
23.0,838,1622.784099
43.0,1226,1658.723512
45.0,1015,1688.488736
17.0,700,1708.535975
28.0,701,1728.580002
65.0,1505,1772.608051
15.0,524,1787.413853
11.0,524,1802.516349
40.0,963,1830.409213
64.0,1424,1872.03263
73.0,1518,1916.247051
39.0,917,1942.749808
61.0,1154,1976.40737
62.0,1321,2014.68074
26.0,636,2033.149377
67.0,1345,2072.044405
79.0,1502,2115.738499
57.0,1202,2150.783092
84.0,1664,2198.869992
59.0,1001,2228.102118
64.0,1177,2262.182714
88.0,1225,2297.594476
109.0,1765,2349.118266
99.0,1693,2398.512848
109.0,1426,2440.154414
90.0,1379,2480.203313
175.0,1986,2537.903084
102.0,1426,2579.040064
103.0,1208,2613.925334
97.0,1464,2655.986738
96.0,1194,2690.371767
87.0,1377,2730.248719
148.0,1638,2777.780948
314.0,1540,2822.161327
118.0,1732,2872.199865
337.0,1369,2911.685586
258.0,2035,2970.526675
106.0,1456,3012.83302
330.0,1631,3059.965753
152.0,1476,3102.685967
73.0,1187,3137.370223
134.0,1436,3178.478798
352.0,2002,3237.058402
330.0,1674,3285.446206
328.0,1863,3339.156687
335.0,1931,3394.581702
420.0,2271,3460.287605
166.0,1293,3497.49798
374.0,2113,3558.862588
407.0,2565,3632.651298
357.0,2151,3694.814443
254.0,1879,3748.898637
268.0,1977,3805.871567
370.0,1363,3844.831764
337.0,1946,3900.30268
333.0,2049,3959.302399
400.0,2398,4027.976677
356.0,2149,4089.722184
404.0,2579,4163.771062
402.0,2313,4230.39568
386.0,2358,4298.50517
409.0,2559,4372.404628
421.0,3316,4467.921236
428.0,3479,4568.680117
417.0,5966,4739.766404
303.0,1817,4791.451628
425.0,2484,4862.640907
381.0,1953,4918.518507
373.0,1849,4971.448607
409.0,2372,5039.941165
416.0,3990,5154.295931
424.0,2687,5231.269278
394.0,2338,5298.040216
410.0,2548,5370.963734
326.0,1967,5427.114593
421.0,3873,5538.137971
386.0,3104,5626.74393
428.0,4630,5759.997541
376.0,3797,5868.982664
420.0,2367,5936.540021
431.0,4140,6054.763724
484.0,4693,6189.299889
421.0,5182,6337.253045
427.0,2431,6406.634008
231.0,6850,6602.732701
382.0,3824,6711.980257
427.0,2967,6796.973268
435.0,4224,6917.023009
394.0,2147,6978.064912
412.0,4499,7106.435581
539.0,4671,7239.312383
369.0,4238,7359.24637
402.0,2716,7436.126202
432.0,3403,7533.392968
424.0,2584,7606.487307
476.0,2970,7690.627979
525.0,4516,7819.438902
388.0,2625,7894.09878
399.0,3949,8007.624722
832.0,5394,8162.318041
427.0,4313,8285.755903
406.0,2726,8363.30488
426.0,4371,8487.812741
394.0,3628,8591.116347
415.0,3683,8696.217261
367.0,2528,8768.100295
319.0,2012,8824.802401
428.0,3860,8934.730663
383.0,2196,8996.76681
775.0,5650,9158.672649
364.0,2359,9225.670047
236.0,1806,9276.378728
431.0,2718,9353.808385
421.0,2406,9422.374292
435.0,3362,9493.598645
413.0,2080,9527.655301
828.0,7355,9648.675813
365.0,1893,9679.090024
477.0,4584,9753.568675
