entloss,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,optimgain,TimestepsSoFar,entropy,surrgain
,135589,0.00114619,0.308516681194,1.075,66.375,19300.23054766655,16,0.000951873,8239082,0.00151353,0.000951873
,135601,0.00114619,0.385786652565,0.8,54.4,19301.406272172928,12,0.000951873,8239504,0.00151353,0.000951873
,135610,0.000115433,0.131086111069,0.525,44.05,19302.62433409691,9,0.000155136,8239993,0.000679025,0.000155136
,135615,0.000453442,0.00415378808975,0.525,44.05,19303.865075349808,5,0.00151885,8240522,0.00598837,0.00151885
,135624,0.000973299,0.0903984904289,0.8,54.4,19305.129817008972,9,0.00227014,8241143,0.0059807,0.00227014
,135629,0.00147626,0.0757596492767,1.025,64.35,19306.34296274185,5,0.0016657,8241656,0.00172709,0.0016657
,135637,0.000478962,0.12191003561,1.225,72.4,19307.60619854927,8,0.00118648,8242162,0.00141951,0.00118648
,135646,1.28286e-07,0.0916031599045,1.15,68.75,19308.782182455063,9,2.98023e-08,8242651,4.04063e-09,2.98023e-08
,135657,1.28286e-07,0.116229772568,0.9,61.0,19309.923623800278,11,2.98023e-08,8243186,4.04063e-09,2.98023e-08
,135670,0.000739544,0.164509832859,0.65,50.075,19311.16690826416,13,0.00115691,8243712,0.00128855,0.00115691
,135674,0.000739544,0.0528171062469,0.875,60.025,19312.30419778824,4,0.00115691,8244202,0.00128855,0.00115691
,135686,0.000500745,0.120981633663,0.7,52.1,19313.523097991943,12,0.00206275,8244735,0.00291815,0.00206275
,135695,0.00126015,0.088897228241,0.7,50.725,19314.737112045288,9,0.00205753,8245169,0.00317931,0.00205753
,135701,0.000747664,0.0220125317574,0.975,61.275,19315.946063280106,6,0.000489913,8245729,0.00502561,0.000489913
,135705,4.49937e-05,0.0929071307182,1.125,68.325,19317.13650536537,4,2.09473e-05,8246103,0.000234055,2.09473e-05
,135721,0.000725282,0.0972545742989,0.825,55.675,19318.374352931976,16,5.56335e-05,8246768,0.000982468,5.56335e-05
,135728,0.000163337,0.131677806377,0.975,62.3,19319.60720396042,7,0.000213794,8247273,0.000583129,0.000213794
