total_timesteps,explained_variance,policy_entropy,fps,nupdates,value_loss
2048000,0.8219670802354813,1.3082576990127563,1316,25600,0.015373187139630318
2056000,0.8413362950086594,1.3418560028076172,1316,25700,0.02190098538994789
2064000,0.879872128367424,1.2627924680709839,1316,25800,0.010904163122177124
2072000,0.8717614710330963,1.2886734008789062,1317,25900,0.013838155195116997
2080000,0.6969670951366425,1.276074767112732,1317,26000,0.02954723872244358
2088000,0.7954646199941635,1.2198493480682373,1317,26100,0.016772713512182236
2096000,0.7318917512893677,1.2805954217910767,1317,26200,0.025989681482315063
2104000,0.8438192158937454,1.247903823852539,1317,26300,0.014468414708971977
2112000,0.9287985265254974,1.226930856704712,1317,26400,0.009418390691280365
2120000,0.9064299166202545,1.2388315200805664,1317,26500,0.00845910981297493
2128000,0.9152214154601097,1.2730481624603271,1317,26600,0.017582837492227554
2136000,0.9247845187783241,1.2061128616333008,1317,26700,0.009397430345416069
2144000,0.8180800080299377,1.1986004114151,1317,26800,0.016783736646175385
2152000,0.941380251199007,1.2704603672027588,1317,26900,0.005161762237548828
2160000,0.8438467532396317,1.1086493730545044,1317,27000,0.0077299377880990505
2168000,0.8792376592755318,1.2629261016845703,1317,27100,0.010040965862572193
2176000,0.9403186328709126,1.2541329860687256,1317,27200,0.008042560890316963
2184000,0.8512168973684311,1.2616380453109741,1318,27300,0.014271734282374382
2192000,0.8134541362524033,1.292741060256958,1318,27400,0.010430536232888699
2200000,0.8211933225393295,1.245602011680603,1318,27500,0.021241266280412674
2208000,0.8801324814558029,1.250440001487732,1318,27600,0.009978041052818298
2216000,0.7413372695446014,1.2147269248962402,1318,27700,0.02952532097697258
2224000,0.8714023530483246,1.2359519004821777,1318,27800,0.009231148287653923
2232000,0.7494133114814758,1.2890243530273438,1318,27900,0.022940419614315033
2240000,0.7881552428007126,1.2385579347610474,1318,28000,0.012191513553261757
2248000,0.7025847434997559,1.2308439016342163,1318,28100,0.02698175050318241
2256000,0.7471373081207275,1.2010818719863892,1318,28200,0.01768478937447071
2264000,0.8454186171293259,1.2665221691131592,1318,28300,0.008651535026729107
2272000,0.8213518857955933,1.2413142919540405,1318,28400,0.009495596401393414
2280000,0.9180596843361855,1.179503321647644,1319,28500,0.0092951450496912
2288000,0.8411522656679153,1.2198781967163086,1319,28600,0.015618747100234032
2296000,0.9238946810364723,1.2501338720321655,1319,28700,0.00834409799426794
2304000,0.8846222832798958,1.2281948328018188,1319,28800,0.014150825329124928
2312000,0.8283089697360992,1.2547394037246704,1319,28900,0.01959708333015442
2320000,0.7862251549959183,1.2407758235931396,1319,29000,0.01807413622736931
2328000,0.8875772655010223,1.2388077974319458,1319,29100,0.010812459513545036
