#{"t_start": 1511458562.4315064, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-20.0,838,12.365766
-20.0,923,22.493596
-21.0,943,32.830631
-21.0,880,42.505908
-21.0,1020,53.641445
-18.0,1108,65.812122
-21.0,759,74.114292
-21.0,760,82.458741
-21.0,818,91.442706
-20.0,901,101.378223
-21.0,849,110.643794
-18.0,1074,122.441282
-21.0,787,131.069128
-21.0,852,140.392477
-21.0,836,149.503586
-19.0,1151,162.232381
-21.0,820,171.12395
-20.0,837,180.303175
-21.0,809,189.214535
-19.0,939,199.557167
-21.0,822,208.586336
-21.0,846,217.866407
-21.0,825,226.896835
-21.0,817,235.866084
-21.0,761,244.174605
-21.0,859,253.652708
-21.0,758,262.013225
-21.0,758,270.333528
-21.0,758,278.646997
-20.0,863,288.082808
-21.0,1074,299.906662
-21.0,880,309.662976
-21.0,776,318.202388
-21.0,791,326.925474
-20.0,929,337.084068
-21.0,901,346.91921
-21.0,781,355.526229
-20.0,956,366.008392
-20.0,896,375.768411
-21.0,789,384.389014
-21.0,903,394.288819
-19.0,1143,406.860745
-18.0,1034,418.219239
-21.0,817,427.192554
-21.0,822,436.186992
-18.0,1161,448.909031
-21.0,847,458.200985
-20.0,832,467.187844
-21.0,787,475.856457
-19.0,1011,486.919257
-20.0,897,496.689916
-21.0,820,505.706062
-20.0,959,516.249231
-21.0,897,526.136346
-21.0,805,534.996481
-21.0,885,544.704844
-21.0,841,553.960049
-21.0,854,563.321168
-21.0,837,572.469808
-20.0,893,582.246572
-21.0,876,591.894278
-21.0,775,600.380517
-19.0,1099,612.388772
-21.0,789,621.048806
-21.0,888,630.820451
-20.0,957,641.311939
-21.0,780,649.80669
-21.0,1001,660.826679
-21.0,884,670.528841
-20.0,902,680.504028
-20.0,935,690.734966
-19.0,1096,702.716959
-20.0,1036,713.965924
-21.0,819,722.973561
-21.0,820,731.976101
-20.0,947,742.483006
-21.0,881,752.121809
-21.0,824,761.217573
-21.0,852,770.525846
-21.0,908,780.537199
-21.0,837,789.757102
-21.0,820,798.714087
-20.0,930,808.901713
-21.0,917,818.943214
-20.0,994,829.843869
-20.0,1004,841.035924
-20.0,839,850.230663
-21.0,804,859.020382
-21.0,881,868.716404
-20.0,927,878.823944
-20.0,887,888.525875
-19.0,1085,900.375864
-19.0,1039,911.818843
-21.0,846,921.15339
-20.0,1046,932.621865
-21.0,844,941.862999
-21.0,782,950.483776
-21.0,818,959.44743
-21.0,878,969.035553
-21.0,1027,980.291431
-20.0,1006,991.289969
-21.0,1001,1002.236494
-20.0,1067,1013.954871
-21.0,841,1023.150729
-21.0,822,1032.099326
-21.0,905,1042.071253
-19.0,943,1052.451579
-20.0,857,1061.948769
-20.0,842,1071.13788
-21.0,869,1080.695317
-20.0,942,1091.021
-21.0,864,1100.503933
-21.0,954,1110.952339
-20.0,1156,1123.676887
-19.0,1026,1134.923522
-20.0,978,1145.742329
-21.0,885,1155.454581
-19.0,1112,1167.608034
-20.0,1019,1178.78199
-19.0,1144,1191.382353
-20.0,952,1201.898818
-19.0,970,1212.563738
-19.0,1054,1224.140747
-19.0,954,1234.623708
-21.0,883,1244.301702
-21.0,811,1253.201621
-21.0,824,1262.235164
-20.0,842,1271.449256
-21.0,881,1281.095544
-20.0,837,1290.28701
-19.0,1171,1303.12718
-19.0,1014,1314.219511
-20.0,955,1324.720699
-20.0,994,1335.601959
-20.0,1082,1347.450984
-20.0,915,1357.475438
-21.0,787,1366.066765
-20.0,892,1375.912975
-21.0,1013,1387.044843
-18.0,1093,1399.034883
-20.0,1083,1410.960486
-19.0,989,1421.851747
-21.0,847,1431.112885
-21.0,820,1440.185696
-20.0,908,1450.119557
-19.0,1078,1461.947932
-21.0,995,1472.864315
-21.0,926,1483.01902
-19.0,990,1493.899971
-20.0,956,1504.443352
-19.0,1067,1516.140727
-21.0,882,1525.789044
-20.0,1067,1537.552028
-21.0,824,1546.516978
-21.0,944,1556.986878
-20.0,1116,1569.260467
-20.0,883,1578.910849
-20.0,1025,1590.089797
-20.0,962,1600.669591
-20.0,1071,1612.437739
-18.0,1164,1625.145285
-21.0,786,1633.726115
-20.0,875,1643.286202
-19.0,1077,1655.15172
-19.0,1095,1667.194825
-21.0,972,1677.839511
-19.0,1162,1690.583956
-20.0,946,1700.942932
-21.0,970,1711.533867
-20.0,944,1721.825402
