#{"t_start": 1511458562.5158827, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-21.0,881,12.762852
-21.0,781,21.286306
-21.0,851,30.686677
-20.0,1003,41.652423
-20.0,894,51.434263
-21.0,822,60.461305
-21.0,760,68.79563
-21.0,760,77.072907
-21.0,761,85.438293
-20.0,925,95.642385
-21.0,798,104.391252
-21.0,824,113.419148
-21.0,883,123.113353
-20.0,834,132.277731
-21.0,847,141.532163
-21.0,820,150.488322
-21.0,886,160.269164
-19.0,1020,171.381247
-21.0,911,181.356675
-19.0,1063,193.102315
-20.0,915,203.112275
-21.0,758,211.469079
-20.0,949,221.865747
-21.0,785,230.490424
-21.0,878,240.058686
-19.0,985,250.935109
-21.0,758,259.272318
-21.0,986,270.118141
-20.0,1065,281.808372
-20.0,939,292.10676
-21.0,789,300.7656
-21.0,776,309.370432
-21.0,823,318.446474
-21.0,883,328.162379
-21.0,819,337.128128
-21.0,821,346.049936
-21.0,821,355.101776
-20.0,895,364.952218
-21.0,998,375.813447
-20.0,863,385.254546
-21.0,822,394.268891
-19.0,964,404.831857
-20.0,927,415.023429
-20.0,836,424.217965
-19.0,1089,436.163681
-21.0,789,444.753406
-21.0,871,454.345865
-21.0,790,462.954527
-20.0,1022,474.128973
-21.0,780,482.682915
-20.0,838,491.796088
-19.0,1028,503.069746
-20.0,956,513.583873
-20.0,982,524.396287
-20.0,960,534.972362
-21.0,868,544.47822
-21.0,790,553.163406
-20.0,998,564.123526
-19.0,972,574.760086
-20.0,835,583.919352
-20.0,1026,595.198071
-20.0,987,606.00749
-21.0,941,616.284627
-21.0,959,626.863285
-21.0,885,636.555267
-20.0,922,646.632281
-19.0,1036,658.014035
-18.0,1122,670.316169
-21.0,883,680.093076
-20.0,909,690.047035
-21.0,762,698.367189
-20.0,953,708.712172
-20.0,1030,719.986286
-20.0,976,730.742042
-21.0,883,740.514158
-20.0,835,749.721239
-20.0,835,758.850012
-20.0,924,768.996731
-20.0,840,778.252356
-21.0,776,786.768852
-18.0,1132,799.187385
-20.0,835,808.331067
-20.0,942,818.635139
-21.0,879,828.248718
-20.0,838,837.548485
-19.0,1281,851.705239
-21.0,791,860.369152
-21.0,944,870.722293
-21.0,815,879.606529
-21.0,869,889.098418
-19.0,937,899.334257
-21.0,823,908.378511
-20.0,1019,919.630316
-20.0,839,928.844331
-19.0,1193,941.92326
-20.0,835,951.133341
-20.0,980,961.813208
-20.0,1160,974.536006
-20.0,975,985.237282
-19.0,1097,997.242466
-21.0,849,1006.504965
-20.0,891,1016.20243
-20.0,1053,1027.797918
-21.0,855,1037.131965
-20.0,893,1047.011027
-21.0,819,1055.999795
-21.0,856,1065.460304
-21.0,824,1074.426046
-20.0,1099,1086.5536
-21.0,949,1096.919943
-20.0,1045,1108.394339
-21.0,986,1119.227041
-19.0,986,1130.096252
-21.0,884,1139.844922
-21.0,882,1149.563876
-20.0,897,1159.418794
-21.0,944,1169.666791
-19.0,993,1180.597046
-19.0,944,1190.965717
-20.0,901,1200.873221
-20.0,1006,1211.988939
-19.0,993,1222.884149
-21.0,822,1231.943536
-21.0,1116,1244.140896
-20.0,1064,1255.851178
-21.0,806,1264.657499
-20.0,838,1273.841602
-20.0,1056,1285.400192
-21.0,819,1294.395888
-20.0,978,1305.131361
-20.0,987,1315.952609
-20.0,891,1325.718303
-18.0,1150,1338.349116
-20.0,1099,1350.373389
-20.0,886,1360.004683
-21.0,1020,1371.232806
-21.0,851,1380.645208
-19.0,1186,1393.672013
-20.0,959,1404.163832
-20.0,1003,1415.192897
-21.0,1058,1426.818604
-21.0,888,1436.653889
-20.0,1326,1451.179765
-19.0,1037,1462.563373
-19.0,1120,1474.829933
-21.0,844,1484.106162
-20.0,932,1494.339974
-21.0,937,1504.675625
-21.0,824,1513.652333
-19.0,1090,1525.635187
-21.0,1024,1536.924433
-19.0,1059,1548.520105
-20.0,924,1558.739632
-21.0,1095,1570.765154
-19.0,1171,1583.548639
-20.0,976,1594.188715
-16.0,1349,1609.070989
-20.0,888,1618.773988
-21.0,1093,1630.689059
-21.0,820,1639.675471
-21.0,987,1650.526022
-19.0,1215,1663.894603
-19.0,1175,1676.776499
-21.0,804,1685.580712
-21.0,917,1695.60626
-19.0,998,1706.555499
-20.0,903,1716.416005
-19.0,1054,1727.96706
