#{"t_start": 1511458562.5759745, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-20.0,1051,14.564436
-20.0,832,23.699135
-20.0,1022,34.88665
-21.0,883,44.599996
-21.0,836,53.733904
-21.0,870,63.28013
-20.0,936,73.521387
-21.0,798,82.277842
-21.0,882,91.976691
-18.0,1237,105.587471
-21.0,785,114.195933
-21.0,814,123.130329
-21.0,762,131.459984
-20.0,1065,143.107327
-21.0,820,152.109213
-21.0,1018,163.312187
-21.0,943,173.549767
-20.0,859,183.007408
-21.0,850,192.39629
-20.0,834,201.52038
-21.0,761,209.896766
-21.0,956,220.392051
-21.0,876,230.003563
-21.0,759,238.270589
-20.0,952,248.727216
-21.0,763,257.137994
-20.0,1101,269.268869
-19.0,1364,284.219959
-20.0,980,295.000805
-20.0,917,305.140508
-21.0,820,314.167097
-21.0,822,323.230797
-20.0,837,332.416483
-19.0,943,342.695125
-21.0,852,352.107709
-20.0,836,361.247924
-19.0,1277,375.19879
-21.0,841,384.406184
-19.0,948,394.799755
-18.0,1280,408.884037
-17.0,1160,421.629286
-21.0,866,431.137234
-20.0,899,440.957124
-20.0,902,450.840784
-20.0,883,460.504604
-21.0,806,469.275768
-21.0,820,478.249016
-21.0,915,488.26205
-20.0,889,497.990067
-21.0,881,507.654072
-18.0,1130,520.07594
-20.0,948,530.508829
-19.0,933,540.777257
-20.0,962,551.346199
-21.0,853,560.699928
-21.0,996,571.605003
-21.0,818,580.554166
-21.0,847,589.846996
-20.0,874,599.462893
-21.0,910,609.407915
-21.0,915,619.420885
-18.0,1027,630.747101
-20.0,902,640.617377
-20.0,1039,651.993728
-20.0,923,662.136225
-21.0,912,672.152129
-20.0,978,682.945323
-20.0,973,693.573787
-20.0,901,703.418897
-18.0,1225,716.760125
-21.0,849,726.099297
-19.0,1023,737.42063
-21.0,820,746.456632
-21.0,943,756.798176
-20.0,946,767.192963
-21.0,837,776.360648
-21.0,925,786.554711
-21.0,776,795.029695
-20.0,890,804.810898
-20.0,914,814.797813
-20.0,958,825.309979
-20.0,956,835.891592
-21.0,908,845.987655
-20.0,980,856.658147
-20.0,921,866.796235
-21.0,822,875.787136
-21.0,783,884.367007
-17.0,1126,896.608947
-20.0,1039,908.031372
-21.0,881,917.746542
-20.0,839,926.977059
-20.0,897,936.814516
-21.0,839,946.061655
-20.0,916,956.078408
-21.0,841,965.283498
-21.0,869,974.797573
-21.0,1088,986.711379
-20.0,837,995.897863
-20.0,1096,1007.866035
-20.0,839,1017.022567
-19.0,1017,1028.194494
-18.0,1140,1040.626314
-21.0,909,1050.688073
-21.0,837,1059.940244
-19.0,946,1070.31148
-20.0,897,1080.159005
-20.0,840,1089.368239
-21.0,822,1098.374016
-20.0,962,1108.934322
-21.0,945,1119.311483
-21.0,880,1128.992141
-20.0,1292,1143.229269
-20.0,863,1152.711805
-20.0,979,1163.417531
-21.0,788,1172.023523
-21.0,907,1182.048796
-20.0,982,1192.800802
-20.0,903,1202.77857
-19.0,989,1213.671411
