entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,946.48,-20.0,25,0.000929485,0.0124786,1,1.76052,-0.000662922859192,23662,0.0124786,49.854405879974365
,946.48,-20.0,25,0.00112578,0.0157034,,1.76812,-0.00135552883148,23662,0.0157034,50.90762972831726
,946.615384615,-20.0,26,0.000275571,0.00825006,1,1.76005,0.00221920013428,24612,0.00825006,51.98400592803955
,946.615384615,-20.0,26,0.000972088,0.0168691,,1.76659,-0.000343799591064,24612,0.0168691,53.05355882644653
,953.0,-19.962962963,27,0.000708954,0.00498543,1,1.75346,-0.000572800636292,25731,0.00498543,54.134169578552246
,953.0,-19.962962963,27,0.00137869,0.0149698,,1.75959,-0.00266396999359,25731,0.0149698,55.18713188171387
,952.0,-19.9642857143,28,0.00108198,0.0141961,1,1.7535,4.60147857666e-05,26656,0.0141961,56.26292157173157
,947.379310345,-20.0,29,0.00118259,0.0184679,1,1.75671,0.00110632181168,27474,0.0184679,57.33234643936157
,947.379310345,-20.0,29,0.000869753,0.0135922,,1.75565,-0.00441229343414,27474,0.0135922,58.407411098480225
,946.6,-20.0,30,0.00084223,0.0150222,1,1.75334,0.000718653202057,28398,0.0150222,59.47133922576904
,946.6,-20.0,30,0.00124202,0.013476,,1.75407,-0.00260531902313,28398,0.013476,60.54968214035034
,942.419354839,-20.0322580645,31,0.000909663,0.0140854,1,1.76046,-0.00344204902649,29215,0.0140854,61.63483738899231
,943.6875,-20.03125,32,0.00107488,0.0153527,1,1.76571,0.000402271747589,30198,0.0153527,62.703468799591064
,943.6875,-20.03125,32,0.0009524,0.0135179,,1.75681,-0.00262749195099,30198,0.0135179,63.75489115715027
,945.424242424,-20.0303030303,33,0.000262857,0.0076249,1,1.76535,-0.00244319438934,31199,0.0076249,64.82230067253113
,945.424242424,-20.0303030303,33,0.00129751,0.0167646,,1.74817,-0.0028749704361,31199,0.0167646,65.88535046577454
,946.117647059,-20.0294117647,34,0.000417235,0.00629546,1,1.73284,-0.000773429870605,32168,0.00629546,66.95331478118896
,946.117647059,-20.0294117647,34,0.000322672,0.00220172,,1.74653,-0.000146269798279,32168,0.00220172,68.04765677452087
,944.6,-20.0285714286,35,0.000970162,0.0153548,1,1.74683,-0.00401210784912,33061,0.0153548,69.11256051063538
,944.6,-20.0285714286,35,0.000285951,0.0049548,,1.74779,0.00342208147049,33061,0.0049548,70.17571091651917
,941.055555556,-20.0555555556,36,0.000907683,0.0163189,1,1.75413,0.00114101171494,33878,0.0163189,71.23391675949097
,938.324324324,-20.0810810811,37,0.00104993,0.0151772,1,1.73642,0.000503242015839,34718,0.0151772,72.3142454624176
,938.324324324,-20.0810810811,37,0.00144171,0.0157894,,1.74825,0.00093799829483,34718,0.0157894,73.36406302452087
,942.078947368,-20.0526315789,38,0.000164129,0.000274681,1,1.74727,0.000175058841705,35799,0.000274681,74.47736120223999
,942.078947368,-20.0526315789,38,0.00109259,0.0160479,,1.73966,0.000596404075623,35799,0.0160479,75.54515624046326
,941.538461538,-20.0769230769,39,0.00099296,0.0137996,1,1.72588,-7.46250152588e-05,36720,0.0137996,76.6161880493164
,941.538461538,-20.0769230769,39,0.000980528,0.0141382,,1.72629,-0.00284671783447,36720,0.0141382,77.66443538665771
,942.925,-20.1,40,0.00104682,0.0163744,1,1.73189,-0.00394511222839,37717,0.0163744,78.72686624526978
,942.925,-20.1,40,0.00106609,0.0185568,,1.74282,6.97374343872e-05,37717,0.0185568,79.78846216201782
,940.9,-20.1,41,0.000965528,0.0158267,1,1.73531,-0.00226068496704,38646,0.0158267,80.85423231124878
,940.9,-20.1,41,0.00109064,0.014663,,1.72717,0.00333392620087,38646,0.014663,81.90299463272095
,937.025,-20.1,42,0.000969169,0.0131582,1,1.71458,-0.000925779342651,39480,0.0131582,82.95893549919128
,942.2,-20.1,43,0.00108611,0.0155634,1,1.74098,0.000350832939148,40446,0.0155634,84.02850079536438
,942.2,-20.1,43,0.000966034,0.0164483,,1.72605,0.00158679485321,40446,0.0164483,85.07789373397827
,940.375,-20.125,44,0.000931069,0.0144269,1,1.73334,0.0003702044487,41283,0.0144269,86.16328024864197
,940.375,-20.125,44,0.000245563,0.00287792,,1.73113,-0.000261187553406,41283,0.00287792,87.251140832901
,937.95,-20.15,45,0.000935268,0.0123298,1,1.72336,-0.0028920173645,42205,0.0123298,88.31927514076233
,937.95,-20.15,45,0.0014025,0.0161554,,1.73667,-0.00125133991241,42205,0.0161554,89.40059065818787
,935.75,-20.15,46,0.000994418,0.0161476,1,1.74862,0.00253617763519,43040,0.0161476,90.4809319972992
,936.675,-20.15,47,0.00101241,0.0207658,1,1.74362,-0.000580549240112,43942,0.0207658,91.55867052078247
,936.675,-20.15,47,0.00123483,0.0146674,,1.73989,-0.00322318077087,43942,0.0146674,92.62459325790405
,931.725,-20.175,48,0.00100565,0.0162932,1,1.73189,-0.00166594982147,44790,0.0162932,93.70275068283081
,931.725,-20.175,48,0.00136919,0.0168713,,1.72175,-0.00293946266174,44790,0.0168713,94.77022385597229
,934.9,-20.125,49,0.00112278,0.0152836,1,1.73013,0.00034898519516,45729,0.0152836,95.81461453437805
