nupdates,fps,value_loss,policy_entropy,explained_variance,total_timesteps
75900,1345,0.01628267951309681,0.9460300207138062,0.7443810999393463,6072000
76000,1345,0.04615182429552078,0.9027608633041382,0.7947587668895721,6080000
76100,1346,0.006466164253652096,1.0380500555038452,0.9136345162987709,6088000
76200,1346,0.012056222185492516,0.9429036974906921,0.9221998378634453,6096000
76300,1346,0.023331698030233383,0.9759905934333801,0.8521788269281387,6104000
76400,1346,0.2991444170475006,0.973658561706543,0.5154102444648743,6112000
76500,1346,0.10282548516988754,0.9514606595039368,0.3269069790840149,6120000
76600,1346,0.023851493373513222,0.9829641580581665,0.9779258724302053,6128000
76700,1346,0.014886997640132904,0.9934319257736206,0.8426327854394913,6136000
76800,1346,0.06183960288763046,0.9640210866928101,0.7783976495265961,6144000
76900,1346,0.02724377252161503,0.9759846925735474,0.9933831603266299,6152000
77000,1346,0.10463259369134903,0.9366280436515808,0.983434708788991,6160000
77100,1346,0.033403076231479645,0.9096347689628601,0.8962158188223839,6168000
77200,1346,0.02425023727118969,0.9965853691101074,0.7457815408706665,6176000
77300,1346,0.03576865792274475,1.067330241203308,0.7638890445232391,6184000
77400,1346,0.11878732591867447,1.0892906188964844,0.7274411022663116,6192000
77500,1346,0.014739048667252064,0.840693473815918,0.8342878520488739,6200000
77600,1346,0.10640592873096466,1.012763500213623,0.5967304706573486,6208000
77700,1346,0.011961118318140507,1.0452945232391357,0.8757114335894585,6216000
77800,1346,0.017847435548901558,0.8818605542182922,0.7156431972980499,6224000
77900,1347,0.01853305846452713,0.8638361096382141,0.7671647518873215,6232000
78000,1347,0.012045278213918209,0.8668954968452454,0.9306241869926453,6240000
78100,1347,0.055044226348400116,0.9586467742919922,0.6550528407096863,6248000
78200,1347,0.01377936452627182,0.8500176668167114,0.9096609726548195,6256000
78300,1347,0.018597576767206192,0.9771037101745605,0.9909430667757988,6264000
78400,1347,0.022809425368905067,0.9488533139228821,0.6922727227210999,6272000
78500,1347,0.056718386709690094,1.0062984228134155,0.7831699550151825,6280000
78600,1347,0.015609619207680225,1.0176913738250732,0.7688967883586884,6288000
78700,1347,0.17544792592525482,1.037847876548767,0.7778212875127792,6296000
78800,1347,0.0487811453640461,0.8322866559028625,0.6516874134540558,6304000
78900,1347,0.09279333800077438,0.9356645345687866,0.6467499434947968,6312000
79000,1347,0.01422434113919735,0.9639193415641785,0.8525133579969406,6320000
79100,1347,0.019210001453757286,0.8544872403144836,0.6531221866607666,6328000
79200,1347,0.009481662884354591,0.8872489929199219,0.9315875843167305,6336000
79300,1347,0.11957808583974838,1.0401437282562256,0.8030580282211304,6344000
79400,1347,0.01563364826142788,0.9372429847717285,0.8036894500255585,6352000
79500,1347,0.04972764104604721,0.8809598684310913,0.8769135177135468,6360000
79600,1347,0.03584831580519676,0.9555370211601257,0.71058389544487,6368000
79700,1348,0.09014977514743805,0.9084317088127136,0.8706434667110443,6376000
79800,1348,0.03710270673036575,0.9388021230697632,0.9241399616003036,6384000
79900,1348,0.016018379479646683,0.8779441118240356,0.9535964019596577,6392000
80000,1348,0.024841804057359695,0.9818792343139648,0.9020932838320732,6400000
80100,1348,0.015071367844939232,1.082944393157959,0.7981310039758682,6408000
80200,1348,0.01651005446910858,0.9432092905044556,0.7417195439338684,6416000
80300,1348,0.019124340265989304,0.8775795698165894,0.9854446118697524,6424000
80400,1348,0.01756172999739647,0.8889764547348022,0.8387831747531891,6432000
80500,1348,0.061336033046245575,0.9802390336990356,0.9588014259934425,6440000
80600,1348,0.011744564399123192,0.9972937703132629,0.8695240914821625,6448000
80700,1348,0.030545463785529137,0.9933822751045227,0.7873231768608093,6456000
80800,1348,0.02971280738711357,0.8452232480049133,0.8817881941795349,6464000
80900,1348,0.03260793536901474,0.8614234924316406,0.7485229671001434,6472000
81000,1348,0.03729924559593201,0.9466004371643066,0.791231170296669,6480000
81100,1348,0.04973674938082695,0.8376184701919556,0.8831685036420822,6488000
81200,1348,0.07727599143981934,0.8977838754653931,0.7390975058078766,6496000
81300,1348,0.039112843573093414,0.9321770668029785,0.6744256317615509,6504000
81400,1348,0.016025612130761147,0.8839353322982788,0.670173317193985,6512000
81500,1349,0.022061672061681747,0.9563102722167969,0.7868643999099731,6520000
81600,1349,0.02973880246281624,0.8707557916641235,0.7686658650636673,6528000
81700,1349,0.03765325993299484,0.8839555978775024,0.8524919003248215,6536000
81800,1349,0.11804970353841782,0.8593603372573853,0.49796438217163086,6544000
81900,1349,0.04904162138700485,0.8039577603340149,0.9514568783342838,6552000
82000,1349,0.043622225522994995,0.9079800844192505,0.9235999509692192,6560000
82100,1349,0.22772634029388428,0.8714699745178223,0.47369563579559326,6568000
82200,1349,0.011812458746135235,0.8747682571411133,0.9172218963503838,6576000
82300,1349,0.023681018501520157,0.9831596612930298,0.827217236161232,6584000
82400,1349,0.3132195770740509,0.876557469367981,0.26658064126968384,6592000
82500,1349,0.017002351582050323,0.8812114596366882,0.9961277835536748,6600000
82600,1349,0.03974832221865654,0.9181536436080933,0.9598067216575146,6608000
82700,1349,0.12974955141544342,0.9501285552978516,0.5080417692661285,6616000
82800,1349,0.12409231811761856,0.8344629406929016,0.6885207295417786,6624000
82900,1349,0.052614789456129074,0.9292492866516113,0.9436608590185642,6632000
83000,1349,0.009392211213707924,0.953799843788147,0.9259692803025246,6640000
83100,1349,0.3100817799568176,0.8707696795463562,0.11303788423538208,6648000
83200,1349,0.11695213615894318,1.250277042388916,0.29034423828125,6656000
83300,1349,0.011156640946865082,0.946639358997345,0.8395129144191742,6664000
83400,1349,0.03000243380665779,0.896344006061554,0.8654090017080307,6672000
83500,1350,0.09883406013250351,0.8948065042495728,0.8932454362511635,6680000
83600,1350,0.01863747276365757,0.8959218263626099,0.8776143416762352,6688000
83700,1350,0.044701866805553436,1.0037752389907837,0.8985326737165451,6696000
83800,1350,0.027783792465925217,0.8717107772827148,0.8364877551794052,6704000
83900,1350,0.15738579630851746,0.9104436635971069,0.5704606473445892,6712000
84000,1350,0.3378985822200775,1.01961350440979,0.24620193243026733,6720000
84100,1350,0.489116907119751,0.8832772374153137,0.25149810314178467,6728000
84200,1350,0.3214442729949951,0.8480602502822876,0.3768411874771118,6736000
84300,1350,0.08195336908102036,0.7866373062133789,0.9436684139072895,6744000
84400,1350,0.061290670186281204,0.9505516886711121,0.9338389709591866,6752000
