nupdates,total_timesteps,policy_loss,policy_entropy,explained_variance,fps,value_loss
2718,1739520,-0.0037767142057418823,1.5540062189102173,0.9119935780763626,1152,0.010186264291405678
2719,1740160,-0.001727638766169548,1.6177785396575928,0.8565986603498459,1152,0.014134836383163929
2720,1740800,-0.038895346224308014,1.6496480703353882,0.8990296199917793,1152,0.010147454217076302
2721,1741440,-0.10919316112995148,1.5751140117645264,0.8321626931428909,1152,0.02409081533551216
2722,1742080,0.019247880205512047,1.5678054094314575,0.8552466481924057,1152,0.013299116864800453
2723,1742720,0.011056128889322281,1.581316351890564,0.9292953684926033,1152,0.008265187963843346
2724,1743360,-0.004958983510732651,1.6271536350250244,0.9481734298169613,1152,0.00655679777264595
2725,1744000,-0.020105747506022453,1.6345279216766357,0.912988193333149,1152,0.009572030045092106
2726,1744640,-0.023759059607982635,1.5499470233917236,0.8732045441865921,1152,0.010530328378081322
2727,1745280,0.007966365665197372,1.58170485496521,0.9068290069699287,1152,0.011371648870408535
2728,1745920,-0.03643472120165825,1.6200535297393799,0.9260971546173096,1152,0.009335861541330814
2729,1746560,0.00810924731194973,1.60688054561615,0.8934127986431122,1152,0.011538185179233551
2730,1747200,-0.046900101006031036,1.6245476007461548,0.9372129440307617,1152,0.009541093371808529
2731,1747840,0.0585135743021965,1.5989751815795898,0.8155103325843811,1152,0.018672270700335503
2732,1748480,-0.0008252514526247978,1.583139419555664,0.47402071952819824,1152,0.03962080180644989
2733,1749120,-0.14561712741851807,1.5986199378967285,0.6978435814380646,1152,0.056298475712537766
2734,1749760,0.04061831161379814,1.6562249660491943,0.9099389761686325,1152,0.01100661139935255
2735,1750400,0.0009322371333837509,1.5868444442749023,0.8868413195014,1152,0.009573380462825298
2736,1751040,-0.03326099365949631,1.5652023553848267,0.7854492664337158,1152,0.01730003021657467
2737,1751680,-0.048797521740198135,1.5640966892242432,0.7282469868659973,1152,0.02813595160841942
2738,1752320,-0.015084749087691307,1.6261167526245117,0.9516125731170177,1152,0.005711222533136606
2739,1752960,-0.020330291241407394,1.634756088256836,0.9555443525314331,1152,0.005026946775615215
2740,1753600,-0.06774119287729263,1.5922694206237793,0.7256788015365601,1152,0.023496810346841812
2741,1754240,-0.009955445304512978,1.550648808479309,0.7328413426876068,1152,0.02583775855600834
