#{"t_start": 1511327525.771419, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-20.0,898,30.434814
-21.0,792,52.13974
-21.0,792,73.972808
-21.0,760,95.043835
-21.0,763,116.233539
-21.0,824,138.858925
-19.0,1078,168.532977
-19.0,1063,197.74463
-21.0,788,219.47371
-19.0,1155,251.250952
-21.0,819,273.985294
-21.0,852,297.554692
-21.0,884,322.03438
-18.0,1035,350.794873
-18.0,1465,391.277796
-16.0,1718,438.685065
-19.0,1075,468.317535
-16.0,2004,523.457927
-14.0,2040,580.072936
-8.0,2698,655.230189
-20.0,1370,693.297219
-21.0,763,714.57083
-21.0,763,735.934848
-20.0,1100,766.592478
-14.0,2700,841.200778
6.0,3713,943.910586
16.0,2130,1003.757718
17.0,1724,1051.703564
20.0,1996,1107.363287
9.0,2768,1183.91224
14.0,2346,1249.020828
20.0,2003,1304.789892
19.0,2088,1362.35769
19.0,1630,1407.453159
19.0,2074,1464.702021
20.0,1655,1510.216286
20.0,2006,1566.073852
19.0,1689,1612.512856
5.0,3241,1702.149106
20.0,1561,1744.942081
20.0,2007,1800.100281
16.0,1941,1853.697201
20.0,2001,1909.097447
18.0,2086,1966.851286
20.0,1565,2010.55987
19.0,2081,2068.042297
20.0,1566,2111.426763
18.0,2203,2172.608241
21.0,2020,2228.829108
20.0,1567,2272.143388
20.0,2005,2327.429806
20.0,1994,2382.633893
16.0,2339,2447.59149
20.0,1561,2490.673704
20.0,1994,2546.309539
20.0,2007,2602.09672
10.0,3666,2703.717618
15.0,2696,2778.29035
19.0,1792,2827.447711
20.0,1566,2870.70946
20.0,2003,2926.293452
20.0,1990,2981.026712
20.0,2002,3036.497347
17.0,1952,3085.526059
20.0,1562,3117.516238
18.0,1786,3153.852885
20.0,1561,3185.443809
20.0,2006,3225.992598
18.0,2130,3269.093455
20.0,2056,3310.685531
19.0,2086,3352.845971
17.0,1925,3391.947997
20.0,2000,3432.641219
20.0,2002,3473.267335
20.0,1562,3504.948193
17.0,1863,3542.814423
18.0,1784,3578.925046
20.0,2006,3619.58414
17.0,2247,3665.14411
16.0,2217,3710.019045
20.0,1565,3741.970217
20.0,1996,3782.269023
20.0,2001,3822.921536
20.0,2007,3863.89979
20.0,2052,3905.180121
21.0,1974,3945.323039
20.0,2906,4004.312483
19.0,3122,4067.658095
18.0,3104,4130.983672
20.0,1990,4171.336929
19.0,1838,4208.756917
20.0,2003,4249.441794
19.0,2072,4291.432806
20.0,3061,4353.435102
20.0,1563,4385.148005
18.0,1744,4420.639966
18.0,2890,4479.443355
18.0,2175,4523.452271
20.0,1567,4555.101755
20.0,2003,4595.47898
19.0,3123,4658.841367
20.0,1561,4690.652928
20.0,1591,4722.893201
19.0,2081,4765.096229
19.0,2580,4817.291034
20.0,2005,4857.958248
20.0,1991,4898.491914
20.0,1997,4939.353099
20.0,2004,4980.185628
17.0,2207,5024.834045
19.0,2195,5069.667063
20.0,3060,5131.524488
20.0,1566,5163.524893
20.0,1684,5197.632703
20.0,3060,5259.610203
20.0,3062,5322.074668
20.0,2003,5362.443471
20.0,1997,5403.024246
20.0,2001,5443.666169
20.0,1990,5484.177547
20.0,1997,5525.006272
20.0,1993,5565.413131
20.0,2066,5607.222399
21.0,2038,5648.621137
17.0,3121,5712.160599
20.0,1994,5752.72213
20.0,1994,5793.233074
20.0,1622,5826.142992
20.0,1561,5857.792102
20.0,1997,5898.510314
20.0,2020,5939.272754
18.0,1764,5975.207917
21.0,1975,6015.419995
20.0,3116,6078.661489
17.0,2119,6121.799421
18.0,2645,6175.508703
19.0,2800,6232.188969
20.0,3084,6294.811479
20.0,3135,6358.427148
20.0,3062,6420.39203
20.0,2003,6460.912294
20.0,1564,6492.787398
20.0,1996,6533.40847
20.0,1566,6565.127567
18.0,3065,6627.245899
20.0,1996,6667.609474
20.0,1614,6700.287973
17.0,2392,6749.008403
21.0,3026,6810.491766
20.0,1564,6842.232708
21.0,3006,6903.54061
19.0,2114,6946.549887
19.0,1815,6983.303231
19.0,2679,7038.051035
19.0,2030,7079.356845
20.0,1561,7111.065973
20.0,2003,7151.746306
20.0,2004,7192.246837
19.0,3092,7254.909904
20.0,2002,7295.57862
20.0,1994,7336.141824
20.0,1995,7376.742427
20.0,2002,7417.147374
20.0,2091,7459.532165
19.0,2052,7505.036243
19.0,2043,7545.617858
19.0,3095,7605.703323
14.0,2741,7660.039697
20.0,1997,7697.777423
20.0,2025,7737.607563
19.0,2108,7779.977071
