nupdates,fps,value_loss,explained_variance,policy_entropy,total_timesteps
1,169,0.020699869841337204,-180.73748779296875,1.7464220523834229,80
100,2018,0.02297927625477314,0.013264179229736328,1.7335106134414673,8000
200,2111,0.0006133454735390842,-0.16515374183654785,1.7417625188827515,16000
300,2158,0.03850579261779785,0.01873081922531128,1.7472631931304932,24000
400,2170,0.029215360060334206,0.037027835845947266,1.7167727947235107,32000
500,2174,0.028136515989899635,0.0065760016441345215,1.7474960088729858,40000
600,2188,0.017837664112448692,-0.0054242610931396484,1.7247965335845947,48000
700,2190,0.013245506212115288,0.016482412815093994,1.6566162109375,56000
800,2194,0.00036469026235863566,-0.28156769275665283,1.736069917678833,64000
900,2200,0.03294289484620094,0.02502727508544922,1.741044044494629,72000
1000,2160,0.04477910324931145,-0.036539554595947266,1.7649204730987549,80000
1100,2079,0.04866652935743332,0.03613656759262085,1.7317174673080444,88000
1200,2005,0.04978274181485176,-0.0004622936248779297,1.6938755512237549,96000
1300,1950,0.03259352594614029,0.029078125953674316,1.7653356790542603,104000
1400,1904,0.05801192671060562,0.02935504913330078,1.7671926021575928,112000
1500,1867,0.041798777878284454,0.044936954975128174,1.7675502300262451,120000
1600,1836,0.03725684434175491,0.11289334297180176,1.6346099376678467,128000
1700,1807,0.008103330619633198,0.11873739957809448,1.7319450378417969,136000
1800,1783,0.002991669112816453,0.4570600986480713,1.7652438879013062,144000
1900,1763,0.025485986843705177,0.3095627427101135,1.7585914134979248,152000
2000,1744,0.031515393406152725,0.4951210618019104,1.655080795288086,160000
2100,1728,0.04526318982243538,0.6374875009059906,1.7589830160140991,168000
2200,1713,0.02631371282041073,0.4699404239654541,1.7767292261123657,176000
2300,1700,0.06448022276163101,-0.05578756332397461,1.7709591388702393,184000
2400,1690,0.05877053737640381,0.27559900283813477,1.7784563302993774,192000
2500,1679,0.03145397827029228,0.6769260168075562,1.7507559061050415,200000
2600,1669,0.014465118758380413,0.7364537119865417,1.7400181293487549,208000
2700,1660,0.14499032497406006,-0.057730913162231445,1.7524610757827759,216000
2800,1653,0.010272791609168053,0.782826229929924,1.7522737979888916,224000
2900,1645,0.006695862859487534,0.8728463649749756,1.7086169719696045,232000
3000,1639,0.018531465902924538,0.6552891731262207,1.778696060180664,240000
3100,1633,0.015015306882560253,0.4734928011894226,1.7724765539169312,248000
3200,1627,0.03894144296646118,0.4170389175415039,1.770421028137207,256000
3300,1621,0.011318689212203026,0.6865130960941315,1.785099983215332,264000
3400,1616,0.004651862196624279,0.8446251899003983,1.765062689781189,272000
3500,1611,0.041587065905332565,0.3853384256362915,1.7652326822280884,280000
3600,1606,0.03867210075259209,0.21211516857147217,1.7687904834747314,288000
3700,1601,0.005712824873626232,0.727308839559555,1.7712711095809937,296000
3800,1597,0.002694562077522278,0.5110987722873688,1.7748081684112549,304000
3900,1593,0.025434285402297974,0.2600727677345276,1.7870910167694092,312000
4000,1590,0.028808731585741043,0.36193954944610596,1.7744548320770264,320000
4100,1586,0.03918716683983803,-0.08210980892181396,1.7305282354354858,328000
4200,1583,0.01501140184700489,0.6090331077575684,1.7503125667572021,336000
4300,1580,0.025280743837356567,0.5317094624042511,1.7465556859970093,344000
4400,1577,0.019689571112394333,0.5657530128955841,1.7759437561035156,352000
4500,1574,0.011437496170401573,0.5506516695022583,1.6841224431991577,360000
4600,1572,0.010074569843709469,0.7014442384243011,1.7548282146453857,368000
4700,1569,0.012353040277957916,0.7067987024784088,1.7673923969268799,376000
4800,1566,0.013466134667396545,0.7744381725788116,1.7740166187286377,384000
4900,1564,0.0031515532173216343,0.9470558390021324,1.7772495746612549,392000
5000,1562,0.022717515006661415,0.7318699359893799,1.772507905960083,400000
5100,1560,0.03382578864693642,0.36715632677078247,1.7726833820343018,408000
5200,1558,0.028464704751968384,0.14380371570587158,1.7829396724700928,416000
5300,1556,0.007290971465408802,0.9048843532800674,1.7756459712982178,424000
5400,1554,0.04870140179991722,0.5499646961688995,1.7653099298477173,432000
5500,1552,0.006453904323279858,0.9224223718047142,1.747423529624939,440000
5600,1551,0.006627810187637806,0.8813679590821266,1.7548717260360718,448000
5700,1549,0.00652212742716074,0.897566556930542,1.7740007638931274,456000
5800,1547,0.026955347508192062,0.42570197582244873,1.7798395156860352,464000
5900,1546,0.0016456249868497252,0.9493321962654591,1.7688748836517334,472000
