#{"t_start": 1511458524.2979822, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-21.0,760,6.531164
-21.0,763,12.005518
-21.0,763,17.467798
-20.0,894,23.950839
-20.0,841,29.976777
-20.0,867,36.196062
-19.0,1010,47.329602
-19.0,1138,59.735324
-20.0,960,70.20086
-21.0,761,78.545875
-21.0,822,87.537907
-21.0,758,95.896413
-18.0,1017,106.976341
-21.0,787,115.595007
-21.0,824,124.568051
-21.0,759,132.860485
-21.0,790,141.438845
-20.0,856,150.795051
-21.0,851,160.069915
-21.0,997,170.93093
-21.0,955,181.433946
-21.0,968,192.056555
-21.0,847,201.314425
-20.0,866,210.802776
-20.0,905,220.660377
-20.0,987,231.428848
-21.0,778,239.976597
-21.0,790,248.615436
-20.0,971,259.218693
-20.0,885,268.870757
-21.0,786,277.455287
-20.0,985,288.21293
-19.0,1096,300.169107
-20.0,1024,311.324046
-21.0,779,319.723254
-19.0,1078,331.52938
-21.0,1011,342.554649
-21.0,779,351.024862
-21.0,912,360.942219
-21.0,835,369.951375
-21.0,824,378.996068
-21.0,792,387.64248
-21.0,851,396.906668
-20.0,961,407.444375
-21.0,780,415.913007
-21.0,884,425.502553
-19.0,970,436.114524
-21.0,905,445.992506
-21.0,966,456.552946
-19.0,1012,467.551148
-21.0,790,476.164085
-20.0,1066,487.698497
-20.0,831,496.826583
-19.0,1060,508.524745
-19.0,952,518.949381
-21.0,910,528.927155
-21.0,849,538.15902
-21.0,820,547.148314
-20.0,1011,558.131877
-19.0,1015,569.227152
-19.0,930,579.362193
-20.0,899,589.217899
-16.0,1277,603.063529
-19.0,1104,615.091688
-18.0,1169,627.975158
-21.0,939,638.225154
-21.0,876,647.800028
-20.0,924,657.898819
-21.0,988,668.625263
-21.0,899,678.493695
-21.0,824,687.534854
-20.0,859,696.794254
-20.0,839,705.973289
-21.0,819,714.907016
-21.0,902,724.742917
-20.0,883,734.397017
-18.0,1098,746.421549
-21.0,943,756.786841
-21.0,848,766.035289
-21.0,1089,777.93997
-20.0,837,787.043185
-20.0,1003,798.00825
-20.0,835,807.086319
-20.0,941,817.34241
-21.0,967,827.899132
-20.0,956,838.41153
-21.0,823,847.422194
-19.0,934,857.594331
-21.0,849,866.815688
-20.0,872,876.287335
-20.0,952,886.641281
-21.0,816,895.517419
-21.0,970,906.079125
-21.0,1058,917.629861
-21.0,1048,929.056383
-21.0,781,937.59519
-19.0,991,948.400405
-21.0,906,958.231249
-20.0,986,968.930614
-21.0,881,978.568089
-20.0,914,988.512194
-20.0,925,998.619135
-20.0,879,1008.174597
-20.0,858,1017.539659
-20.0,1016,1028.601225
-20.0,904,1038.447388
-20.0,935,1048.69623
-21.0,804,1057.495503
-20.0,961,1067.927507
-21.0,933,1078.063026
-21.0,925,1088.045964
-20.0,1072,1099.676564
-19.0,1157,1112.273972
-19.0,1127,1124.611246
-21.0,776,1133.105646
-21.0,791,1141.689083
-21.0,871,1151.205501
-21.0,1044,1162.519336
-17.0,1471,1178.517189
-19.0,942,1188.803067
-20.0,959,1199.201739
