#{"t_start": 1511458524.2980409, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
-21.0,841,7.150081
-21.0,809,12.96735
-21.0,763,18.445406
-21.0,884,24.796638
-21.0,787,30.435551
-20.0,1052,39.296534
-21.0,762,47.331594
-21.0,762,55.630171
-21.0,891,65.34423
-21.0,763,73.679548
-21.0,764,82.064511
-21.0,822,91.097472
-21.0,763,99.431057
-21.0,789,108.021361
-21.0,818,116.99174
-21.0,800,125.71939
-21.0,881,135.278075
-21.0,843,144.489555
-21.0,845,153.68382
-21.0,942,163.949268
-20.0,868,173.442471
-20.0,865,182.928602
-20.0,1015,194.105215
-21.0,993,204.958453
-21.0,782,213.50726
-20.0,894,223.274582
-20.0,905,233.164316
-20.0,835,242.327959
-20.0,999,253.232687
-20.0,1037,264.539003
-19.0,952,274.906669
-20.0,1141,287.42798
-21.0,839,296.554023
-21.0,838,305.731565
-20.0,1041,316.988621
-20.0,953,327.361897
-20.0,1018,338.528069
-21.0,914,348.404353
-20.0,1083,360.205264
-20.0,896,369.879599
-21.0,943,380.22208
-20.0,959,390.636317
-21.0,908,400.625651
-21.0,873,410.173354
-21.0,845,419.291664
-20.0,864,428.763609
-21.0,879,438.351228
-21.0,879,447.953955
-18.0,1065,459.569388
-20.0,1004,470.492075
-20.0,929,480.584514
-20.0,835,489.640607
-20.0,871,499.203788
-19.0,1062,510.911062
-20.0,966,521.493436
-20.0,1001,532.458049
-19.0,1299,546.644125
-21.0,1091,558.516866
-21.0,819,567.479041
-21.0,883,577.104612
-21.0,877,586.690692
-21.0,865,596.080417
-21.0,896,605.827955
-20.0,963,616.334648
-21.0,819,625.310344
-21.0,817,634.293297
-20.0,836,643.439756
-21.0,788,652.017968
-21.0,1046,663.39968
-20.0,933,673.59831
-19.0,1189,686.634784
-20.0,927,696.666714
-20.0,896,706.48484
-20.0,891,716.159073
-21.0,964,726.701704
-21.0,792,735.396415
-20.0,880,745.010265
-20.0,1159,757.754723
-18.0,992,768.628945
-20.0,869,778.068181
-21.0,912,787.976365
-21.0,790,796.633238
-21.0,1068,808.24837
-20.0,941,818.495666
-20.0,947,828.859554
-20.0,912,838.86723
-21.0,881,848.488098
-19.0,1072,860.174578
-20.0,949,870.508329
-18.0,1110,882.540621
-20.0,920,892.584413
-19.0,996,903.432611
-21.0,805,912.165019
-21.0,945,922.452235
-21.0,811,931.345668
-21.0,844,940.546491
-19.0,1262,954.309151
-21.0,840,963.415608
-19.0,1255,977.105682
-18.0,1199,990.147416
-21.0,966,1000.738813
-20.0,991,1011.507469
-20.0,897,1021.239046
-21.0,940,1031.502336
-21.0,871,1041.050948
-20.0,1015,1052.183854
-21.0,948,1062.492494
-21.0,885,1072.118171
-20.0,927,1082.155529
-21.0,839,1091.174752
-18.0,1293,1105.192371
-21.0,846,1114.417053
-21.0,811,1123.284442
-20.0,1156,1135.985375
-20.0,1020,1147.087247
-20.0,1073,1158.742315
-20.0,1064,1170.289379
-21.0,897,1180.056018
-19.0,970,1190.637918
-20.0,946,1200.94946
-20.0,912,1210.885139
-21.0,939,1221.088509
-20.0,956,1231.484765
-20.0,1013,1242.505146
-20.0,1123,1254.749105
-21.0,942,1264.947168
-21.0,884,1274.638512
-20.0,1066,1286.278863
-19.0,1041,1297.596305
-20.0,841,1306.776176
-20.0,837,1316.005653
-21.0,820,1324.950651
-20.0,1042,1336.346523
-21.0,939,1346.460737
-18.0,1012,1357.492211
-21.0,897,1367.273265
-21.0,974,1377.843834
-21.0,844,1387.002132
-20.0,832,1396.085582
-20.0,1014,1407.17959
-21.0,834,1416.236585
-19.0,1051,1427.653567
-21.0,846,1436.890522
-21.0,1050,1448.341617
-20.0,1066,1459.892897
-20.0,866,1469.275636
-18.0,1155,1481.739941
-21.0,820,1490.710565
-21.0,881,1500.367849
-21.0,819,1509.291149
-20.0,1020,1520.33671
-20.0,1178,1533.178747
-21.0,809,1541.931399
-20.0,865,1551.452115
-20.0,986,1562.245286
-21.0,816,1571.149901
-20.0,1007,1582.095684
-20.0,1040,1593.402021
-20.0,1020,1604.478127
-20.0,1077,1616.34981
-20.0,896,1626.15616
-21.0,885,1635.801123
-20.0,948,1646.044676
-20.0,1036,1657.398957
-20.0,975,1668.049465
-18.0,1039,1679.417149
-21.0,934,1689.521196
-19.0,1195,1702.553217
-20.0,1086,1714.363484
-20.0,989,1725.196558
-20.0,855,1734.552204
-18.0,1155,1747.099639
-20.0,971,1757.700291
-20.0,1112,1769.744504
-20.0,957,1780.114948
-20.0,888,1789.746146
-21.0,926,1799.762629
-21.0,809,1808.544414
-20.0,1220,1821.771051
-18.0,1158,1834.428797
-21.0,994,1845.286735
-17.0,1276,1859.261574
-21.0,1061,1870.818331
-21.0,880,1880.467333
-20.0,1021,1891.532984
-20.0,945,1901.890556
-20.0,897,1911.656492
-18.0,1332,1926.208493
-19.0,1334,1940.83501
-16.0,1530,1957.498752
-21.0,1007,1968.503395
-20.0,1337,1983.07707
-21.0,967,1993.536973
-18.0,1343,2008.18743
-17.0,1172,2020.968075
-17.0,1614,2038.538207
-21.0,1062,2050.076789
-17.0,1319,2064.411042
-21.0,839,2073.528796
-19.0,1293,2087.641588
-18.0,1425,2103.189102
-18.0,1186,2116.127977
-17.0,1661,2134.190573
-20.0,1209,2147.373409
-20.0,1466,2163.266574
-19.0,1413,2178.668996
-19.0,1631,2196.315733
-16.0,1559,2213.335187
-21.0,1407,2228.66509
-21.0,1285,2242.678526
-18.0,1715,2261.419369
-21.0,1187,2274.241933
-20.0,1539,2290.878761
-20.0,1588,2308.135852
-20.0,1521,2324.791769
-15.0,1891,2345.393817
-9.0,2018,2367.273704
-17.0,1886,2387.765255
-18.0,1796,2407.287943
-20.0,1363,2422.133489
-20.0,1397,2437.356807
-14.0,2077,2459.953368
-13.0,1945,2481.040946
-12.0,1943,2502.272741
-14.0,1704,2520.873818
-7.0,2378,2546.689472
-21.0,1694,2565.116492
-19.0,1631,2582.903611
-15.0,1809,2602.570708
-14.0,1951,2623.895309
-21.0,1377,2638.860554
-16.0,2107,2661.721539
-17.0,2241,2686.252298
-19.0,1592,2703.663113
-9.0,2477,2730.588319
-20.0,1460,2746.39363
-19.0,1829,2766.198294
-12.0,2092,2789.093566
-21.0,1477,2805.175867
-16.0,2318,2830.366353
-21.0,1805,2850.003788
-18.0,1714,2868.684901
-12.0,2327,2893.858565
-17.0,1848,2913.852618
-19.0,1722,2932.610814
-19.0,1506,2948.975669
-18.0,1829,2968.832149
-10.0,2252,2993.379848
-10.0,2394,3019.370517
-7.0,2629,3048.089479
-16.0,2117,3071.118016
-9.0,2422,3097.433077
-11.0,2450,3124.012002
6.0,2658,3152.876093
8.0,2915,3184.450677
1.0,3177,3219.044461
-5.0,2923,3250.707986
-6.0,2574,3278.69706
-6.0,2672,3307.945462
16.0,1924,3328.826498
17.0,1844,3348.95348
18.0,1673,3367.057388
20.0,1563,3384.085905
18.0,1693,3402.608613
16.0,1911,3423.327467
12.0,2271,3448.042349
17.0,1760,3467.102314
11.0,2592,3495.290408
16.0,2210,3519.299615
19.0,1756,3538.297423
14.0,2553,3565.970908
18.0,2097,3588.814576
16.0,1889,3609.304262
19.0,1661,3627.397669
13.0,2528,3654.961708
17.0,1780,3674.293548
18.0,1753,3693.35877
18.0,2183,3717.076884
19.0,1635,3734.914254
20.0,1594,3752.229036
11.0,2765,3782.429199
17.0,2318,3807.637419
15.0,2388,3833.574005
19.0,1633,3851.23279
19.0,1629,3868.945513
18.0,2164,3892.495216
20.0,1994,3914.118795
12.0,2293,3938.990407
20.0,1562,3955.936947
16.0,2194,3979.81171
20.0,1801,3999.356092
20.0,2127,4022.430344
15.0,2244,4046.80755
16.0,1974,4068.292606
20.0,2064,4090.704006
16.0,2027,4112.76784
6.0,3431,4150.044373
18.0,2225,4174.306978
18.0,2203,4198.261098
19.0,2049,4220.455217
18.0,1851,4240.518995
18.0,1958,4261.678441
20.0,1776,4281.000908
8.0,2754,4311.018392
14.0,2278,4335.761116
16.0,2006,4357.635525
20.0,1993,4379.357403
15.0,1817,4399.127621
11.0,2620,4427.580237
20.0,1565,4444.57641
15.0,2634,4473.212636
16.0,2184,4497.01898
20.0,1991,4518.691808
17.0,1860,4538.894781
20.0,1567,4555.912827
19.0,2125,4578.89572
13.0,2426,4605.277647
18.0,2125,4628.353485
19.0,1771,4647.592145
20.0,2004,4669.377246
17.0,2667,4698.44922
21.0,1590,4715.72502
16.0,2168,4739.315296
16.0,1914,4760.092091
17.0,1815,4779.783719
20.0,2006,4801.65791
17.0,2206,4825.788651
20.0,1990,4847.508956
20.0,2004,4869.234032
21.0,1994,4890.912241
15.0,2053,4913.121121
15.0,2528,4940.546481
19.0,2111,4963.532671
19.0,1799,4983.082291
20.0,1585,5000.252351
16.0,2377,5025.992661
17.0,2294,5050.750814
13.0,2616,5079.0168
13.0,2790,5109.301187
19.0,2169,5132.853174
17.0,1789,5152.280447
20.0,2003,5173.951437
19.0,2205,5197.925618
13.0,2690,5227.217818
17.0,1942,5248.345199
18.0,2083,5271.088067
19.0,2106,5294.055774
20.0,2065,5316.52942
16.0,2149,5339.878192
16.0,2240,5364.179699
14.0,2378,5390.069468
16.0,1999,5411.731634
20.0,1631,5429.467234
18.0,2248,5453.820983
19.0,2076,5476.370993
19.0,1654,5494.302758
16.0,2343,5519.81152
21.0,2032,5541.800049
20.0,2021,5563.702348
19.0,2134,5587.031545
20.0,2001,5608.783475
19.0,1687,5627.104721
20.0,2092,5649.782192
18.0,1924,5670.597149
20.0,1583,5687.90455
17.0,1932,5708.889982
16.0,2295,5733.808926
18.0,1881,5754.374661
20.0,2002,5776.064254
20.0,1564,5793.08137
12.0,2875,5824.330376
20.0,1997,5846.018197
19.0,1664,5864.07336
11.0,2716,5893.606191
18.0,1773,5912.84165
20.0,1563,5929.799458
6.0,3488,5967.565237
20.0,1567,5984.582721
7.0,3498,6022.630194
18.0,1785,6042.077778
20.0,2111,6064.904966
18.0,1745,6083.968435
20.0,2094,6106.728197
20.0,1656,6124.605013
20.0,1561,6141.550262
15.0,2428,6168.109249
20.0,1582,6185.231253
18.0,2134,6208.336875
20.0,2007,6230.162711
20.0,1762,6249.282829
18.0,2268,6273.951896
21.0,1991,6295.597435
16.0,2665,6324.428497
15.0,2734,6354.161268
20.0,1565,6371.210121
19.0,1771,6390.457028
16.0,2015,6412.387229
21.0,1989,6434.019678
16.0,2318,6459.209442
21.0,1948,6480.342863
18.0,2162,6503.866245
20.0,1567,6520.913684
18.0,2235,6545.181243
13.0,3001,6577.849833
20.0,1774,6597.132112
18.0,2236,6621.387216
19.0,1897,6641.990169
20.0,2031,6663.840076
18.0,1968,6685.307889
20.0,2034,6707.278825
21.0,1994,6728.95036
19.0,2093,6751.790314
1.0,3792,6792.819312
19.0,1701,6811.3272
15.0,2139,6834.635314
21.0,2033,6856.694199
16.0,2316,6881.967791
15.0,2228,6906.053544
5.0,3557,6944.801723
19.0,2159,6968.174411
20.0,1703,6986.686441
19.0,1673,7004.969708
20.0,1593,7022.240671
13.0,2406,7048.276885
20.0,1982,7069.774157
20.0,1851,7089.843686
18.0,2514,7117.082261
21.0,2050,7139.423047
14.0,2311,7164.702413
20.0,1617,7182.384716
19.0,2139,7205.533467
17.0,2331,7230.838337
19.0,2046,7252.979949
19.0,1692,7271.36019
19.0,2091,7294.09345
20.0,2064,7316.482637
19.0,1879,7336.835099
20.0,1755,7355.852301
14.0,2647,7384.622364
20.0,1687,7402.991012
21.0,1992,7424.67042
7.0,3917,7467.245281
