#{"t_start": 1511316779.5649047, "env_id": "BreakoutNoFrameskip-v4", "gym_version": "0.9.3"}
r,l,t
3.0,252,11.986894
2.0,201,17.774939
0.0,129,21.414177
0.0,129,25.004263
1.0,176,30.117321
1.0,173,34.971816
0.0,127,38.292829
4.0,301,47.353742
0.0,127,50.973328
0.0,127,54.521127
2.0,191,59.857197
2.0,219,66.343829
0.0,125,69.742798
3.0,234,76.647045
0.0,129,80.167212
1.0,169,85.245081
2.0,224,91.84768
0.0,125,95.242992
5.0,372,106.131345
1.0,171,110.946223
3.0,245,118.032679
1.0,176,123.054093
3.0,271,131.145555
0.0,127,134.601586
0.0,127,137.940097
0.0,127,141.48356
0.0,127,144.943861
0.0,127,148.330597
5.0,350,158.643108
0.0,129,162.12976
0.0,127,165.703926
6.0,379,177.012766
0.0,129,180.543555
0.0,129,184.042643
0.0,129,187.602448
4.0,297,196.507856
0.0,129,200.234477
0.0,129,203.740751
2.0,202,209.564519
2.0,202,215.159923
2.0,200,221.042505
5.0,350,231.157454
2.0,198,236.855902
0.0,127,240.370406
5.0,350,250.646164
2.0,202,256.554593
2.0,200,262.467612
0.0,127,266.110237
5.0,350,276.378807
3.0,250,283.655616
0.0,129,287.24118
2.0,202,293.18242
0.0,129,296.855071
2.0,202,302.830143
0.0,127,306.322712
0.0,129,309.897161
3.0,228,316.531548
5.0,350,326.99355
5.0,372,338.050708
0.0,127,341.723484
12.0,514,356.980254
0.0,127,360.439301
2.0,200,366.048617
2.0,203,371.727761
4.0,297,380.611424
0.0,125,383.969649
2.0,198,389.791742
1.0,157,394.171444
2.0,202,400.00962
1.0,157,404.45276
5.0,329,414.30901
2.0,200,420.17758
1.0,157,424.590993
3.0,252,431.813667
2.0,200,437.634639
9.0,403,449.567762
6.0,380,460.67442
1.0,175,465.552485
6.0,399,477.471628
5.0,350,487.740764
6.0,396,499.034036
0.0,129,502.673196
4.0,284,510.841511
3.0,233,517.524487
14.0,486,531.889914
1.0,157,536.207033
6.0,403,548.00967
4.0,283,556.259121
5.0,332,565.68269
5.0,346,575.77511
9.0,526,591.268606
13.0,372,601.873393
7.0,429,614.349104
11.0,546,630.318288
5.0,316,639.519953
6.0,379,650.469957
8.0,277,658.268319
7.0,347,668.24824
18.0,671,687.935999
7.0,395,699.385884
18.0,408,711.048386
6.0,404,722.780962
14.0,559,739.042217
12.0,456,752.453715
10.0,446,765.489933
12.0,509,780.288624
12.0,594,797.804756
15.0,719,818.971526
19.0,633,837.449296
15.0,605,854.914473
25.0,704,875.311621
15.0,505,890.057344
8.0,418,902.152604
15.0,652,921.236723
12.0,601,938.690021
15.0,739,960.563052
13.0,561,976.933511
11.0,586,993.997181
19.0,726,1015.128313
4.0,266,1022.686502
21.0,820,1047.124449
20.0,601,1064.306117
17.0,584,1081.252542
4.0,264,1088.78693
20.0,645,1107.088051
20.0,726,1128.320961
15.0,562,1144.494027
18.0,526,1159.773284
17.0,709,1180.531281
13.0,592,1197.577186
18.0,653,1216.505486
17.0,511,1231.287791
23.0,698,1251.477881
25.0,859,1276.790855
29.0,764,1299.142796
13.0,668,1318.483529
36.0,975,1346.875833
25.0,823,1370.95566
26.0,552,1386.839084
10.0,465,1400.296894
33.0,686,1420.44479
21.0,829,1444.531998
29.0,897,1470.693165
17.0,720,1491.655341
18.0,606,1508.871353
53.0,1071,1539.926972
47.0,918,1566.492731
40.0,982,1595.062533
22.0,646,1613.36276
30.0,931,1640.545778
65.0,1358,1680.583741
45.0,1296,1718.237583
17.0,720,1739.066949
37.0,1063,1769.788894
49.0,1241,1805.903536
81.0,1459,1848.427751
67.0,1325,1887.150839
48.0,933,1913.968803
27.0,883,1939.612237
57.0,1380,1979.86753
36.0,1067,2010.783034
60.0,1064,2041.860015
72.0,1135,2074.509634
50.0,1210,2109.668389
99.0,1526,2154.20526
57.0,1105,2186.037396
79.0,1353,2225.361438
81.0,1547,2270.092126
89.0,1457,2312.650212
76.0,1498,2356.493058
70.0,1409,2397.317893
163.0,1777,2449.224999
309.0,1509,2493.028101
25.0,975,2521.313733
97.0,1249,2557.300534
88.0,1239,2593.067909
80.0,1374,2632.61266
124.0,1695,2681.437238
293.0,1918,2737.19862
276.0,2024,2795.769756
64.0,1233,2831.455516
344.0,1739,2881.481389
160.0,1644,2928.924581
196.0,1773,2980.478268
311.0,1596,3026.428795
127.0,1647,3074.362267
345.0,1941,3130.946565
372.0,1975,3187.943998
326.0,1746,3238.975632
418.0,2111,3299.833484
352.0,1768,3351.003936
271.0,1966,3407.341175
198.0,1671,3455.635054
203.0,1529,3499.748059
335.0,1828,3552.733366
427.0,2398,3622.000176
298.0,1588,3667.534791
339.0,1812,3719.837637
409.0,2970,3805.569258
393.0,2477,3876.68392
288.0,1814,3928.588366
171.0,1856,3981.581766
276.0,1703,4030.331037
316.0,1845,4083.352487
304.0,1633,4129.953531
294.0,1645,4177.251994
329.0,1926,4232.485975
399.0,2143,4294.48283
92.0,1482,4336.817245
424.0,2930,4421.6355
414.0,3533,4523.519513
411.0,4416,4650.63452
374.0,2839,4731.78405
406.0,2072,4790.956189
372.0,3127,4880.837276
314.0,1888,4934.54634
423.0,2614,5010.010659
461.0,3405,5107.550114
433.0,6270,5287.97517
427.0,2123,5348.295349
356.0,1894,5402.327414
388.0,3184,5493.549801
422.0,2802,5573.77197
404.0,2146,5634.663456
469.0,3185,5726.424349
342.0,2096,5786.565187
425.0,2816,5867.372086
395.0,2004,5924.502213
400.0,3207,6015.91262
422.0,3361,6111.747608
389.0,2127,6172.643727
427.0,7118,6376.490717
421.0,2485,6447.363472
431.0,3703,6553.128917
428.0,11309,6876.682119
424.0,2908,6959.326407
424.0,3192,7050.350995
419.0,2238,7114.067554
405.0,2643,7189.171561
348.0,2522,7260.899842
412.0,2826,7340.613795
402.0,2827,7420.41123
431.0,3842,7530.174495
420.0,2466,7600.030274
421.0,2465,7669.410028
417.0,3069,7756.932516
418.0,2317,7822.961854
418.0,2936,7906.289044
424.0,4270,8029.302248
671.0,4208,8149.759313
393.0,1265,8185.812166
406.0,2513,8257.834422
446.0,2696,8334.214142
210.0,1970,8390.079581
411.0,2937,8473.655983
428.0,3989,8587.439925
518.0,7423,8799.22397
374.0,1800,8850.546848
411.0,2478,8920.655582
58.0,903,8945.810948
392.0,6163,9122.165251
431.0,2794,9201.714592
421.0,3425,9298.532727
402.0,2455,9368.467101
424.0,8824,9552.468868
842.0,9750,9711.986081
55.0,774,9724.348338
