explained_variance,total_timesteps,policy_entropy,fps,nupdates,value_loss,policy_loss
0.9307280108332634,6659200,0.6558833718299866,1091,10405,0.14051403105258942,0.0401894673705101
0.7377130389213562,6659840,0.6704788208007812,1091,10406,0.44209131598472595,-0.1324142962694168
0.9125656262040138,6660480,0.6432894468307495,1091,10407,0.18945275247097015,-0.08775615692138672
0.9610026367008686,6661120,0.6530904769897461,1091,10408,0.06591121852397919,0.011159319430589676
0.9611460529267788,6661760,0.6794999837875366,1091,10409,0.07620717585086823,-0.030069122090935707
0.9299513921141624,6662400,0.6331064105033875,1091,10410,0.1371351033449173,0.014516176655888557
0.9590863399207592,6663040,0.6691283583641052,1091,10411,0.0785023644566536,-0.053238991647958755
0.967268530279398,6663680,0.6321203708648682,1091,10412,0.058398764580488205,-0.004959604702889919
0.9713039621710777,6664320,0.6523986458778381,1091,10413,0.05832504481077194,-0.0011747530661523342
0.9497896693646908,6664960,0.6544844508171082,1091,10414,0.10242749750614166,0.0528734065592289
0.9723603595048189,6665600,0.6388584971427917,1091,10415,0.05084187909960747,0.02279086597263813
0.9618131704628468,6666240,0.6576477289199829,1091,10416,0.07968878000974655,-0.017456740140914917
0.9641939997673035,6666880,0.6497863531112671,1091,10417,0.0956999883055687,-0.05125081539154053
0.7979866862297058,6667520,0.6633133292198181,1091,10418,0.4268445372581482,-0.12066448479890823
0.9810435194522142,6668160,0.6668156385421753,1091,10419,0.04006458818912506,-0.0044071003794670105
0.9767928663641214,6668800,0.6684340834617615,1091,10420,0.053930897265672684,-0.004623549524694681
0.9676352292299271,6669440,0.660439133644104,1091,10421,0.06526479125022888,-0.012370060198009014
0.9785972349345684,6670080,0.645082414150238,1091,10422,0.04478229954838753,-0.017974279820919037
0.9579294435679913,6670720,0.6650618314743042,1091,10423,0.09244270622730255,0.011904963292181492
0.9750741049647331,6671360,0.6687494516372681,1091,10424,0.07061469554901123,0.004908388946205378
0.9346457794308662,6672000,0.6707671880722046,1091,10425,0.33699560165405273,0.019434865564107895
0.9896225174888968,6672640,0.6650979518890381,1091,10426,0.05018390342593193,0.03213493898510933
0.9388909414410591,6673280,0.6747748851776123,1091,10427,0.2916538119316101,0.018268190324306488
0.9620698764920235,6673920,0.6183834075927734,1091,10428,0.22132356464862823,0.04322470352053642
0.9287390112876892,6674560,0.6596195101737976,1091,10429,0.4469761848449707,-0.07277652621269226
0.9648216590285301,6675200,0.6103302240371704,1091,10430,0.17635640501976013,-0.058513619005680084
0.9725318271666765,6675840,0.6501959562301636,1091,10431,0.11023744195699692,0.015766223892569542
0.9496165625751019,6676480,0.6297896504402161,1091,10432,0.21521122753620148,-0.07859048247337341
0.9392947852611542,6677120,0.6508817672729492,1091,10433,0.18709112703800201,-0.006830314639955759
0.974090127274394,6677760,0.6480944156646729,1091,10434,0.08370063453912735,0.005604282487183809
0.9473976753652096,6678400,0.6676021814346313,1091,10435,0.16158756613731384,-0.053663309663534164
0.9525143317878246,6679040,0.6974791884422302,1091,10436,0.1588989645242691,0.008535850793123245
0.8999444246292114,6679680,0.620250940322876,1091,10437,0.4349639415740967,0.05312212184071541
