#{"env_id": "PongNoFrameskip-v4", "t_start": 1511327455.7314723, "gym_version": "0.9.3"}
r,l,t
-20.0,868,15.996814
-20.0,996,31.316947
-21.0,763,42.992164
-21.0,851,56.004023
-20.0,975,73.403036
-21.0,839,94.314417
-20.0,855,116.610027
-21.0,824,138.596334
-20.0,963,164.149248
-21.0,869,187.300289
-21.0,826,209.236148
-21.0,817,230.96674
-20.0,1022,257.873807
-21.0,1015,284.608719
-18.0,1113,314.044729
-21.0,1089,342.947244
-18.0,1058,371.210679
-20.0,1167,401.97497
-19.0,1511,442.095234
-14.0,1776,489.117682
-14.0,1927,540.094546
-7.0,2355,603.053764
13.0,1943,655.091413
-7.0,2548,722.550777
-4.0,2686,793.920236
-2.0,2750,867.085599
3.0,2737,940.033387
19.0,2030,994.368572
18.0,2063,1049.42943
20.0,1563,1090.994203
20.0,1564,1132.619713
15.0,2306,1194.052976
17.0,1833,1243.165759
16.0,2072,1298.787318
18.0,2082,1354.533892
18.0,1726,1400.861433
20.0,2001,1454.108637
19.0,2074,1509.968894
19.0,1686,1554.697721
21.0,1988,1607.184498
20.0,1566,1648.89937
18.0,1857,1698.20025
18.0,1727,1744.073555
20.0,2005,1798.105843
20.0,1561,1839.895833
20.0,1563,1881.347947
18.0,2083,1936.885006
20.0,2003,1990.198246
19.0,2112,2046.611016
20.0,1563,2088.289844
20.0,2064,2143.246651
15.0,2730,2215.747478
19.0,2047,2270.193207
20.0,2007,2323.755763
17.0,1968,2376.418585
20.0,2046,2431.370451
15.0,2927,2510.341693
20.0,2820,2585.714514
18.0,2081,2641.29283
16.0,2348,2704.307582
20.0,1567,2745.796983
19.0,2853,2821.852561
14.0,2548,2889.613469
19.0,2041,2944.272985
17.0,2826,3019.652012
20.0,1564,3060.957762
20.0,2789,3134.117344
17.0,3125,3197.421356
20.0,2003,3236.41156
19.0,1710,3269.540957
20.0,1562,3299.842085
20.0,2784,3354.556396
20.0,2024,3393.941878
20.0,1561,3424.355597
18.0,1906,3461.342353
14.0,2617,3512.087945
19.0,2180,3554.597841
14.0,2309,3599.474589
20.0,2002,3638.603971
8.0,2527,3687.979283
20.0,2006,3726.963615
19.0,2223,3770.384788
18.0,1756,3804.647676
19.0,2120,3845.816668
18.0,2049,3885.95891
18.0,1723,3919.882454
20.0,2792,3974.14246
17.0,1898,4010.852597
20.0,2000,4050.129291
18.0,2286,4094.580887
19.0,1658,4126.886416
19.0,2135,4168.358963
20.0,2002,4207.260886
20.0,2004,4246.243999
20.0,1705,4279.521003
20.0,2062,4319.4756
20.0,2022,4358.784206
18.0,1748,4392.673558
20.0,2793,4446.94949
20.0,2791,4501.608142
18.0,1781,4536.222714
20.0,2793,4590.546411
19.0,2130,4631.785212
20.0,1589,4662.540607
20.0,1562,4693.015462
20.0,2064,4733.660789
18.0,1781,4768.301746
19.0,2120,4809.557061
18.0,1877,4846.461185
20.0,2004,4885.324168
20.0,2085,4925.924726
20.0,2004,4964.735483
20.0,1565,4995.115213
18.0,2256,5039.091827
20.0,1589,5069.874519
20.0,2773,5123.64923
19.0,2146,5165.954735
17.0,2450,5213.582577
21.0,1973,5252.050288
19.0,2102,5292.777873
20.0,2820,5348.158214
19.0,1714,5381.596044
15.0,2394,5427.996963
20.0,2002,5466.889397
20.0,2004,5506.008781
20.0,1688,5538.635891
20.0,2070,5578.82333
20.0,2006,5617.885432
20.0,1595,5648.850854
19.0,1750,5682.800754
20.0,2880,5738.639919
20.0,2005,5777.561356
19.0,2862,5833.284072
20.0,1627,5864.914115
20.0,2774,5918.880549
18.0,1741,5952.781549
19.0,2070,5993.095452
20.0,2145,6034.984048
20.0,2787,6089.092066
19.0,2110,6130.193673
20.0,2792,6184.584031
20.0,2003,6223.312058
19.0,2884,6279.368819
20.0,2003,6318.127899
21.0,1989,6356.636888
18.0,1928,6394.001251
20.0,1561,6424.402868
19.0,2120,6465.436892
20.0,1665,6497.737521
20.0,2030,6537.242105
20.0,1564,6567.786438
20.0,2004,6606.605273
20.0,2103,6647.477417
20.0,2058,6687.657954
19.0,2310,6732.371524
20.0,2064,6772.318764
21.0,2093,6813.279454
20.0,2820,6868.146678
21.0,1977,6906.164236
17.0,2289,6950.604734
20.0,2760,7004.134589
20.0,2051,7043.867452
20.0,2208,7086.950711
19.0,2161,7128.734058
19.0,1630,7160.39569
20.0,1631,7191.847985
19.0,1837,7227.459704
20.0,1566,7257.791691
20.0,2063,7297.683009
19.0,1709,7330.904393
18.0,2186,7373.214509
20.0,2777,7427.270183
19.0,2048,7467.15008
